Time,Date,St,Rep,NH3,NO2,NO3,PO4,Si,Depth,pH,Temp,Salinity,DO
1,Apr18,KK,1,0.0001,0.0008,0.0058,0.0126,0.2578,1.8,8.5,31,26,5.45
1,Apr18,KK,2,0.0011,0.0008,0.0086,0.0141,0.2510,1.9,8.07,30,26,5.55
1,Apr18,KK,3,0.0002,0.0007,0.0042,0.0163,0.2698,1.8,8.07,30,26,5.35
1,Apr18,MN,1,0.0032,0.0009,0.0048,0.0137,0.1298,4.3,7.98,31,26,5.45
1,Apr18,MN,2,0.0061,0.0008,0.0060,0.0136,0.1687,5.2,8,30,26,5.55
1,Apr18,MN,3,0.0097,0.0008,0.0065,0.0105,0.1549,4.4,8.1,30,26,5.35
1,Apr18,MR,1,0.0001,0.0006,0.0072,0.0102,0.0950,5.8,7.7,30,26,5.45
1,Apr18,MR,2,0.0002,0.0004,0.0011,0.0121,0.1367,5.8,7.6,30,26,5.55
1,Apr18,MR,3,0.0001,0.0004,0.0070,0.0075,0.1161,5.8,7.7,31,26,5.35
1,Apr18,TK,1,0.0170,0.0013,0.0071,0.0170,0.1725,4.8,8,31,26,5.45
1,Apr18,TK,2,0.0146,0.0010,0.0062,0.0145,0.2288,4.5,8,31,26,5.55
1,Apr18,TK,3,0.0175,0.0009,0.0054,0.0147,0.2156,4.4,7.9,31,26,5.35
2,Dec18,KK,1,0.0001,0.0008,0.0076,0.0089,0.1773,5.3,7.9,31,30,5.93
2,Dec18,KK,2,0.0001,0.0010,0.0027,0.0095,0.2037,5.6,7.9,30,30,5.96
2,Dec18,KK,3,0.0003,0.0008,0.0068,0.0085,0.1688,5.2,7.9,30,30,5.94
2,Dec18,MN,1,0.0001,0.0007,0.0100,0.0074,0.0391,7.1,7.4,31,30,5.84
2,Dec18,MN,2,0.0001,0.0007,0.0016,0.0075,0.0433,7.9,7.8,30,30,5.75
2,Dec18,MN,3,0.0002,0.0010,0.0026,0.0072,0.0279,7.1,7.89,30,30,5.78
2,Dec18,MR,1,0.0002,0.0008,0.0000,0.0017,0.0202,6.9,7.9,30,30,5.78
2,Dec18,MR,2,0.0003,0.0007,0.0039,0.0064,0.0592,7.1,7.93,30,30,5.85
2,Dec18,MR,3,0.0001,0.0007,0.0050,0.0064,0.0339,6.9,7.9,31,30,5.87
2,Dec18,TK,1,0.0001,0.0005,0.0055,0.0072,0.1060,5.3,7.96,31,30,6.23
