crab,rep,c4_0,c6_0,c8_0,c10_0,c11_0,c12_0,c13_0,c14_0,c15_0,c16_0,c17_0,c20_0,c22_0,c24_0,c14_1,c16_1,c24_1,c20_2,c22_2,c18_2n6t,c18_3n3,c20_3n3,c20_4n6
PP,1,0.0100698692,0.02296014801,0.02516124995,0.04955045756,0,0.02057532687,0,0,0,0,0.06361445151,0.4678646527,0,0,0,0,0,0,0.002038436648,0,0,0,0
PP,2,0,0.2213827562,0.1429519912,0.329073994,0,0.09758902557,0,0,0,0,0.209002233,0,0,0,0,0,0,0,0,0,0,0,0
PP,3,0,0.2590789416,0.2736637567,0.3517408966,0,0,0,0,0,0,0.1155164051,0,0,0,0,0,0,0,0,0,0,0,0
PP,4,0,0.5779590841,0.08917845423,0.2410429064,0,0,0.09181955521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PP,5,0,0.1812538959,0.09741060598,0.2712060556,0,0,0,0,0,0,0.2039349851,0,0,0,0,0,0,0.002461944575,0,0,0,0,0
PP,6,0,0.3162976718,0.08500091031,0.3187760275,0,0,0,0,0,0,0.1938208187,0,0,0,0,0,0,0.0008610457165,0,0,0,0,0
PP,7,0,0.498947752,0.1176732981,0.1827852474,0,0,0,0,0,0,0.0969242108,0,0,0,0,0,0,0.001036694917,0,0,0,0,0
PP,8,0,0.3061163902,0.1264442663,0.1704693153,0.01491882327,0,0,0,0,0,0.2976380002,0,0,0,0.02198872917,0,0,0.0002109547242,0,0.0001729132492,0,0.0002403767812,0
PP,9,0,0.2434552064,0.08757849004,0.1321056885,0.03198543516,0.060780839,0,0.01283131303,0,0,0.3046180148,0,0.03021308614,0,0.04099434768,0,0,0.0003645882006,0,0,0,0.0001897875916,0
PP,10,0,0.03271210632,0.0644422547,0.08418950229,0.03721610164,0.03845835556,0,0,0,0,0.2312318835,0.1542196098,0,0.1498761021,0,0,0,0.0002199606829,0.001724465385,0,0,0.0001321147726,0
PP,11,0,0.09593103584,0.1378374075,0.1933354016,0.02604956553,0.07063699055,0,0,0,0,0.3858456805,0,0,0,0.02740470214,0,0,0.0003116113539,0,0,0,0.00031798081,0
PP,12,0,0.3355158497,0.3471293962,0.3173547541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PP,13,0,0.3358719111,0.1743803086,0.3809846772,0,0,0,0,0,0,0.1087631031,0,0,0,0,0,0,0,0,0,0,0,0
PP,14,0,0.2587563715,0.1816296323,0.2788177301,0,0,0,0,0,0,0.1726416021,0,0,0,0.1081546641,0,0,0,0,0,0,0,0
PP,15,0,0.320886848,0.1369787486,0.3814040841,0,0,0,0,0,0,0.1607303193,0,0,0,0,0,0,0,0,0,0,0,0
PP,16,0,0.1207208103,0.07881626601,0.1545116009,0,0,0,0,0,0,0.1014889543,0,0,0,0.5444623684,0,0,0,0,0,0,0,0
PP,17,0,0.2078744477,0.1288711233,0.2854141895,0,0,0,0,0,0,0.1439851703,0,0,0,0.2338550692,0,0,0,0,0,0,0,0
PP,18,0,0.2325922197,0.1069421479,0.2857183565,0,0.1127952607,0.09851893878,0,0,0,0.1634330764,0,0,0,0,0,0,0,0,0,0.001051919337,0,0
PP,19,0,0.06674072785,0.07371993166,0.07832810009,0,0.02310262419,0,0,0,0,0.03751104944,0.2442528501,0,0.2077701146,0,0,0,0,0.00268574602,0,0,0,0
PP,20,0,0.2663344074,0.1072793982,0.3711306679,0,0.1118324397,0,0,0,0,0.1434230868,0,0,0,0,0,0,0,0,0,0,0,0
PP,21,0,0.1991471465,0.08022439274,0.2317359119,0,0.05462749085,0,0,0,0,0.1315215841,0,0,0,0,0,0,0,0.00132112202,0,0,0,0.0006543933827
PP,22,0,0.1285371637,0.1313824009,0.35611361,0,0.15886845,0,0.04997862932,0,0,0.2138482671,0,0,0,0,0,0,0,0,0,0,0,0
PP,23,0,0.2574667675,0.118212648,0.3022868837,0,0.1194950033,0,0,0,0,0.2025386976,0,0,0,0,0,0,0,0,0,0,0,0
PP,24,0,0.2479685962,0.1343355526,0.2940610881,0,0.09634526844,0,0,0,0,0.2272894946,0,0,0,0,0,0,0,0,0,0,0,0
PP,25,0,0.05290134041,0.07991510581,0.09754475696,0,0.03740660324,0,0,0,0,0.1953269938,0.1960081032,0,0.1236779058,0,0,0,0,0.002172191908,0,0,0,0
PP,26,0,0.1912537915,0.08011297821,0.2082316148,0,0,0.08224045271,0,0,0,0.1499167438,0,0,0,0,0,0,0,0,0,0.0000001918334615,0,0.0009641095745
PP,27,0,0.2423986069,0.1750260506,0.3270366632,0,0.1144291369,0,0,0,0,0.1411095424,0,0,0,0,0,0,0,0,0,0,0,0
PP,28,0,0.3220987021,0.1446555542,0.355414319,0,0,0,0,0,0,0.1778314247,0,0,0,0,0,0,0,0,0,0,0,0
PP,29,0,0.2755751709,0.1351726432,0.3444886873,0,0,0,0,0,0,0.2447634986,0,0,0,0,0,0,0,0,0,0,0,0
PP,30,0,0.1113505105,0.1347937249,0.2417252635,0.03466293268,0.04513000885,0,0,0,0,0.32889466,0,0.03323995873,0,0,0,0,0.0007020294086,0,0,0,0,0
PS,1,0.08756684883,0.2118255761,0.1668945383,0.1009225675,0.08346818869,0.0335594215,0,0,0,0,0.2391113635,0,0.07665149557,0,0,0,0,0,0,0,0,0,0
PS,2,0.1384415836,0.213543928,0.08598831222,0.2064628241,0,0,0,0,0,0,0.3555633521,0,0,0,0,0,0,0,0,0,0,0,0
PS,3,0,0.2388894681,0.09184352855,0.1618676568,0,0.04756417154,0,0,0,0,0.3857990513,0,0,0,0,0,0.0007403612376,0,0,0,0,0,0
PS,4,0,0.1843495504,0.130664075,0.2591270263,0.05412322263,0.09841773932,0,0,0,0,0.2733183863,0,0,0,0,0,0,0,0,0,0,0,0
PS,5,0.3824943984,0.1997200846,0.08544458304,0.1579835481,0,0.0718242521,0,0,0,0,0,0,0.1025331338,0,0,0,0,0,0,0,0,0,0
PS,6,0,0.2432627886,0.1823255302,0.2709625389,0,0.07203220441,0,0,0,0,0.231416938,0,0,0,0,0,0,0,0,0,0,0,0
PS,7,0,0.1083454814,0.04890701184,0.6946280979,0,0.04169113759,0,0,0,0,0.1064282713,0,0,0,0,0,0,0,0,0,0,0,0
PS,8,0,0.07772816873,0.07004392206,0.7043762144,0,0.0196701757,0,0,0,0,0.1281815191,0,0,0,0,0,0,0,0,0,0,0,0
PS,9,0,0.1576125641,0.1667376353,0.2472794294,0,0.07608425234,0,0,0,0,0.3522861188,0,0,0,0,0,0,0,0,0,0,0,0
PS,10,0,0.142484361,0.1315623081,0.2307810016,0,0.04969221873,0,0,0,0,0.3778643832,0,0,0,0,0,0,0.0003337980696,0,0,0,0.000342359204,0
PS,11,0,0.166434519,0.1709715359,0.2174437329,0,0.08284808587,0,0,0,0,0.317175649,0,0,0,0,0,0,0.0004512647727,0,0,0,0,0
PS,12,0,0.1334111236,0.2172678386,0.1965378534,0,0.06616154428,0,0,0.02975086136,0,0.3240117803,0,0,0,0,0,0,0.0003285899845,0,0,0,0,0
PS,13,0,0.3681649478,0.1001933297,0.2604242509,0.1033740759,0.07160869003,0,0,0,0.09623470563,0,0,0,0,0,0,0,0,0,0,0,0,0
PS,14,0.1837966672,0.2323189032,0.4202410949,0,0,0,0,0,0,0,0.1636433348,0,0,0,0,0,0,0,0,0,0,0,0
PS,15,0,0.2365635733,0.4662408762,0.1420450092,0,0,0.1241522198,0,0,0,0.1308281861,0,0,0,0,0,0,0,0,0,0,0,0
PS,16,0,0.2897922236,0.1947182894,0.2175212844,0,0,0.06341153932,0,0.07170079155,0,0.1628558717,0,0,0,0,0,0,0,0,0,0,0,0
PS,17,0,0.1809099097,0.1540201892,0.2627281383,0,0.05158818364,0,0,0,0,0.3507535791,0,0,0,0,0,0,0,0,0,0,0,0
PS,18,0,0.2720568356,0.1404984018,0.3222159,0,0.05784352011,0,0,0,0,0.2073853425,0,0,0,0,0,0,0,0,0,0,0,0
PS,19,0,0.2087345152,0.1915511383,0.2257642648,0.05345306134,0.0004502942339,0.1700601429,0,0,0,0.1054074541,0,0,0,0,0,0,0,0,0,0,0,0
PS,20,0,0.3052308016,0.1107743868,0.3280712672,0,0.06937546275,0,0,0,0,0.1865480816,0,0,0,0,0,0,0,0,0,0,0,0
PS,21,0.1253267936,0.1973359754,0.05064445446,0.09330830286,0,0.03402400721,0,0.2285206183,0,0,0.1813097451,0,0.07056422801,0,0,0,0,0.0001896587497,0,0,0,0,0
PS,22,0.1691230531,0.2087296138,0.06266863728,0.1301230001,0,0.03146279602,0.04039596511,0.1097055448,0,0,0.2477913897,0,0,0,0,0,0,0,0,0,0,0,0
PS,23,0.4327207064,0.1308236535,0.04575666036,0,0,0,0.03173832241,0.03768050562,0,0,0.2006627992,0,0.08886400904,0,0,0,0,0.0003175334352,0,0,0,0,0
