crab,rep,c4_0,c6_0,c8_0,c10_0,c11_0,c12_0,c13_0,c14_0,c15_0,c16_0,c17_0,c20_0,c22_0,c24_0,c14_1,c16_1,c24_1,c20_2,c22_2,c18_2n6t,c18_3n3,c20_3n3,c20_4n6
PP,1,1.0070,2.2960,2.5161,4.9550,0.0000,2.0575,0.0000,0.0000,0.0000,0.0000,6.3614,46.7865,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,34.0204,0.0000,0.0000,0.0000,0.0000
PP,2,0.0000,22.1383,14.2952,32.9074,0.0000,9.7589,0.0000,0.0000,0.0000,0.0000,20.9002,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
PP,3,0.0000,25.9079,27.3664,35.1741,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,11.5516,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
PP,4,0.0000,57.7959,8.9178,24.1043,0.0000,0.0000,9.1820,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
PP,5,0.0000,18.1254,9.7411,27.1206,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20.3935,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,24.6194,0.0000,0.0000,0.0000,0.0000,0.0000
PP,6,0.0000,31.6298,8.5001,31.8776,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,19.3821,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.6105,0.0000,0.0000,0.0000,0.0000,0.0000
PP,7,0.0000,49.8948,11.7673,18.2785,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.6924,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10.3669,0.0000,0.0000,0.0000,0.0000,0.0000
PP,8,0.0000,30.6116,12.6444,17.0469,1.4919,0.0000,0.0000,0.0000,0.0000,0.0000,29.7638,0.0000,0.0000,0.0000,2.1989,0.0000,0.0000,2.1095,0.0000,1.7291,0.0000,2.4038,0.0000
PP,9,0.0000,24.3455,8.7578,13.2106,3.1985,6.0781,0.0000,1.2831,0.0000,0.0000,30.4618,0.0000,3.0213,0.0000,4.0994,0.0000,0.0000,3.6459,0.0000,0.0000,0.0000,1.8979,0.0000
PP,10,0.0000,3.2712,6.4442,8.4190,3.7216,3.8458,0.0000,0.0000,0.0000,0.0000,23.1232,15.4220,0.0000,14.9876,0.0000,0.0000,0.0000,2.1996,17.2447,0.0000,0.0000,1.3211,0.0000
