Month,Batch,Distance,No,Length,Width
Jan,1,40,1,1.1,1.6
Jan,1,40,2,2,3
Jan,1,40,3,1.6,1.8
Jan,1,40,4,1,1.3
Jan,1,40,5,1.4,1.6
Jan,1,40,6,1.5,1.8
Jan,1,40,7,1.2,1.1
Jan,1,40,8,1.4,1
Jan,1,40,9,1.2,1.4
Jan,1,70,1,3,2.5
Jan,1,70,2,1.4,1.6
Jan,1,70,3,1.3,1.5
Jan,1,70,4,1.2,1.5
Jan,1,70,5,1.2,1.6
Jan,1,100,1,3.3,2.9
Jan,1,100,2,3.3,2.5
Jan,1,100,3,2.5,1
Jan,1,100,4,2,1.4
Jan,1,100,5,1,1.1
Jan,1,130,1,1.4,1.5
Jan,1,130,2,2,2.2
Jan,2,10,1,2,2
Jan,2,10,2,2,1.4
Jan,2,10,3,1,1.3
Jan,2,10,4,1,1
Jan,2,10,5,1,1
Jan,2,40,1,1,0.5
Jan,2,40,2,1.5,1
Jan,2,40,3,1,1.5
Jan,2,40,4,3,2
Jan,2,40,5,2,2
Jan,2,40,6,0.8,0.5
Jan,2,40,7,1.4,1.3
Jan,2,40,8,1,0.5
Jan,2,70,1,3,3.5
Jan,2,70,2,3.5,3
Jan,2,70,3,3.5,3
Jan,2,70,4,2.5,3.5
Jan,2,70,5,2.5,2
Jan,2,70,6,2,1.5
Jan,2,70,7,1.5,1
Jan,2,70,8,2.5,2.5
Jan,2,70,9,3,2
Jan,2,100,1,2,1.5
Jan,2,100,2,2.5,2
Jan,2,100,3,2,2.5
Jan,2,100,4,2,2
Jan,2,100,5,1,0.5
Jan,2,130,1,1,1
Jan,2,130,2,1.5,1
Jan,2,130,3,0.5,1
Jan,2,130,4,0.5,0.5
Jan,2,130,5,1.5,2
Jan,3,10,1,1.1,1.6
Jan,3,10,2,2,3
Jan,3,10,3,1.6,1.8
Jan,3,40,1,2.1,1.2
Jan,3,40,2,1.1,1.5
Jan,3,40,3,1.4,1.1
Jan,3,40,4,1,1.2
Jan,3,70,1,2,2.5
Jan,3,70,2,1.7,1.5
Jan,3,70,3,1.6,1.8
Jan,3,70,4,1,1.5
Jan,3,70,5,2.3,2
Jan,3,70,6,1.5,3
Jan,3,70,7,2,1.8
Jan,3,70,8,1.3,1.5
Jan,3,70,9,1,1.3
Jan,3,70,10,1.4,1.6
Jan,3,70,11,1.8,1.2
Jan,3,100,1,1,1.2
Jan,3,100,2,1.6,1.2
Jan,3,100,3,1.9,1
Jan,3,130,1,2,2.2
Jan,3,130,2,1.3,1.4
Jan,3,130,3,1.2,1
Jan,3,130,4,1.1,1.5
Jan,3,130,5,1.1,1.2
Jan,4,40,1,0.5,0.5
Jan,4,40,2,0.5,0.3
Jan,4,40,3,0.5,0.4
Jan,4,70,1,3.5,3.5
Jan,4,70,2,2,3.5
Jan,4,70,3,2,2.5
Jan,4,70,4,1.5,1.3
Jan,4,70,5,1.5,1
Jan,4,70,6,2,1.5
Jan,4,100,1,1,1.5
Jan,4,100,2,1,1
Jan,4,130,1,1.5,1.5
Jan,4,130,2,1,1
Jan,4,130,3,2,1
Jan,4,130,4,1.2,1
Jan,5,10,1,0.9,1
Jan,5,10,2,1.5,1
Jan,5,10,3,0.5,1
Jan,5,10,4,1.9,1.5
Jan,5,10,5,0.4,0.5
Jan,5,10,6,1.8,1.5
Jan,5,70,1,2,1.5
Jan,5,70,2,2,2
Jan,5,70,3,1.5,2
Jan,5,70,4,1,1
Jan,5,70,5,2,1.7
Jan,5,70,6,1.5,2
Jan,5,70,7,1.5,1
Jan,5,100,1,1.5,1
Jan,5,100,2,1.3,1
Jan,5,100,3,1,0.7
Jan,5,130,1,1.5,1.3
Jan,5,130,2,1.5,1.5
Jan,5,130,3,1.5,1.3
Jan,5,130,4,0.7,1
Jan,5,130,5,0.8,1
Jan,5,130,6,1,1
Jan,6,10,1,1.3,1.5
Jan,6,10,2,1,1
Jan,6,10,3,1.5,1.5
Jan,6,40,1,1.5,2
Jan,6,40,2,1.5,1.4
Jan,6,40,3,1.7,1
Jan,6,40,4,1,1
Jan,6,40,5,0.7,0.5
Jan,6,70,1,3.5,3
Jan,6,70,2,3.5,2
Jan,6,70,3,1.5,2
Jan,6,100,1,1,1.5
Jan,6,100,2,0.5,1
Jan,6,130,1,1.8,1.4
Jan,6,130,2,0.9,1
Jan,6,130,3,1.1,1
Jan,6,130,4,1,0.8
Jan,6,130,5,1.1,1.9
Jan,6,130,6,1.5,1.8
Jan,6,130,7,1.4,1.3
Jan,6,130,8,1.2,1
Jan,7,10,1,1,1
Jan,7,10,2,1.5,1
Jan,7,10,3,2,1.5
Jan,7,40,1,0.8,0.7
Jan,7,40,2,1,2
Jan,7,40,3,1.3,1
Jan,7,40,4,1.3,0.7
Jan,7,40,5,1,1.5
Jan,7,40,6,1,1.5
Jan,7,40,7,1.5,1
Jan,7,70,1,2,2.5
Jan,7,70,2,1.8,2.1
Jan,7,70,3,1.5,1.2
Jan,7,70,4,1.9,1.4
Jan,7,70,5,1.5,1.6
Jan,7,70,6,1.4,1.5
Jan,7,70,7,1,1.2
Jan,7,70,8,1.2,1.5
Jan,7,70,9,3,2.5
Jan,7,70,10,1.5,1
Jan,7,100,1,2.1,2.3
Jan,7,100,2,1.1,1.6
Jan,7,130,1,0.9,1.2
Jan,7,130,2,1.4,1.3
Jan,7,130,3,1.5,1.4
Jan,7,130,4,1.2,2
Jan,8,40,1,1,0.8
Jan,8,40,2,1.3,0.7
Jan,8,70,1,2.5,3
Jan,8,70,2,1.5,1.5
Jan,8,70,3,3,1.2
Jan,8,70,4,1.4,1.5
Jan,8,100,1,2,2
Jan,8,100,2,3.5,2.5
Jan,8,130,1,1,1.3
Jan,8,130,2,1,0.9
Jan,8,130,3,2,1.5
Jan,8,130,4,1.5,1
Jan,8,130,5,2,2
Jan,8,130,6,1.5,1.5
Jan,8,130,7,1.5,1
Jan,9,40,1,1.2,1.5
Jan,9,40,2,1,1
Jan,9,40,3,1.5,2
Jan,9,40,4,1.5,1
Jan,9,40,5,1,1
Jan,9,40,6,1,1
Jan,9,70,1,0.7,1
Jan,9,100,1,2,1.5
Jan,9,130,1,2,2.5
Jan,9,130,2,3,1.5
Jan,10,40,1,1.5,1.4
Jan,10,40,2,1.2,1.1
Jan,10,40,3,1.2,1
Jan,10,40,4,1.5,1.4
Jan,10,40,5,1.2,1.3
Jan,10,40,6,3,2.9
Jan,10,40,7,1.3,1.1
Jan,10,40,8,1.5,1.6
Jan,10,40,9,1.1,1
Jan,10,70,1,1,1.3
Jan,10,70,2,2,2.3
Jan,10,70,3,2,2
Jan,10,70,4,1,1
Jan,10,70,5,1.5,2
Jan,10,70,6,1,1
Jan,10,100,1,1.5,1.3
