Month,Batch,Distance,Number
Jan,1,10,0
Jan,1,40,9
Jan,1,70,5
Jan,1,100,5
Jan,1,130,2
Jan,2,10,5
Jan,2,40,8
Jan,2,70,9
Jan,2,100,5
Jan,2,130,5
Jan,3,10,3
Jan,3,40,4
Jan,3,70,11
Jan,3,100,3
Jan,3,130,5
Jan,4,10,3
Jan,4,40,3
Jan,4,70,6
Jan,4,100,2
Jan,4,130,4
Jan,5,10,6
Jan,5,40,0
Jan,5,70,7
Jan,5,100,3
Jan,5,130,6
Jan,6,10,3
Jan,6,40,5
Jan,6,70,3
Jan,6,100,2
Jan,6,130,8
Jan,7,10,3
Jan,7,40,7
Jan,7,70,10
Jan,7,100,2
Jan,7,130,4
Jan,8,10,5
Jan,8,40,2
Jan,8,70,4
Jan,8,100,2
Jan,8,130,7
Jan,9,10,0
Jan,9,40,6
Jan,9,70,1
Jan,9,100,1
Jan,9,130,2
Jan,10,10,0
Jan,10,40,9
Jan,10,70,6
Jan,10,100,1
Jan,10,130,4
Jan,11,10,1
Jan,11,40,9
Jan,11,70,10
Jan,11,100,2
Jan,11,130,2
Jan,12,10,2
Jan,12,40,2
Jan,12,70,2
Jan,12,100,4
Jan,12,130,2
Jan,13,10,5
Jan,13,40,1
Jan,13,70,3
Jan,13,100,0
Jan,13,130,7
Jan,14,10,1
Jan,14,40,0
Jan,14,70,1
Jan,14,100,5
Jan,14,130,1
Jan,15,10,1
Jan,15,40,3
Jan,15,70,4
Jan,15,100,6
Jan,15,130,3
Jan,16,10,1
Jan,16,40,2
Jan,16,70,11
Jan,16,100,3
Jan,16,130,2
Jan,17,10,3
Jan,17,40,1
Jan,17,70,3
Jan,17,100,6
Jan,17,130,5
Jan,18,10,1
Jan,18,40,0
Jan,18,70,1
Jan,18,100,7
Jan,18,130,3
Jan,19,10,0
Jan,19,40,1
Jan,19,70,2
Jan,19,100,7
Jan,19,130,3
Jan,20,10,0
Jan,20,40,1
Jan,20,70,9
Jan,20,100,3
Jan,20,130,3
Jan,21,10,0
Jan,21,40,1
Jan,21,70,4
Jan,21,100,4
Jan,21,130,2
Jan,22,10,1
Jan,22,40,2
Jan,22,70,3
Jan,22,100,5
Jan,22,130,7
Jan,23,10,2
Jan,23,40,1
Jan,23,70,6
Jan,23,100,2
Jan,23,130,3
Jan,24,10,0
Jan,24,40,1
Jan,24,70,5
Jan,24,100,1
Jan,24,130,2
Jan,25,10,1
Jan,25,40,2
Jan,25,70,5
Jan,25,100,5
Jan,25,130,4
Jan,26,10,1
Jan,26,40,0
Jan,26,70,6
Jan,26,100,8
Jan,26,130,5
Jan,27,10,0
Jan,27,40,1
Jan,27,70,4
Jan,27,100,6
Jan,27,130,2
Jan,28,10,1
Jan,28,40,4
Jan,28,70,1
Jan,28,100,5
Jan,28,130,6
Jan,29,10,0
Jan,29,40,0
Jan,29,70,2
Jan,29,100,5
Jan,29,130,1
Jan,30,10,0
Jan,30,40,0
Jan,30,70,2
Jan,30,100,5
Jan,30,130,1
Jan,31,10,1
Jan,31,40,0
Jan,31,70,4
Jan,31,100,5
Jan,31,130,8
Jan,32,10,0
Jan,32,40,2
Jan,32,70,4
Jan,32,100,7
Jan,32,130,1
Jan,33,10,1
Jan,33,40,0
Jan,33,70,5
Jan,33,100,2
Jan,33,130,8
Jan,34,10,1
Jan,34,40,0
Jan,34,70,4
Jan,34,100,6
Jan,34,130,7
Jan,35,10,2
Jan,35,40,0
Jan,35,70,6
Jan,35,100,4
Jan,35,130,7
Jan,36,10,0
Jan,36,40,0
Jan,36,70,3
Jan,36,100,7
Jan,36,130,5
Jan,37,10,0
Jan,37,40,1
Jan,37,70,8
Jan,37,100,4
Jan,37,130,3
Jan,38,10,0
Jan,38,40,1
Jan,38,70,0
Jan,38,100,7
Jan,38,130,8
Jan,39,10,0
Jan,39,40,0
Jan,39,70,2
Jan,39,100,4
Jan,39,130,7
Jan,40,10,0
Jan,40,40,3
Jan,40,70,4
Jan,40,100,7
Jan,40,130,7
Feb,1,10,0
Feb,1,40,1
Feb,1,70,2
Feb,1,100,23
Feb,1,130,35
Feb,2,10,0
Feb,2,40,1
Feb,2,70,8
Feb,2,100,21
Feb,2,130,25
Feb,3,10,0
Feb,3,40,0
Feb,3,70,1
Feb,3,100,14
Feb,3,130,33
Feb,4,10,0
Feb,4,40,0
Feb,4,70,9
Feb,4,100,40
Feb,4,130,19
Feb,5,10,0
Feb,5,40,0
Feb,5,70,4
Feb,5,100,21
Feb,5,130,18
Feb,6,10,0
Feb,6,40,0
Feb,6,70,0
Feb,6,100,9
Feb,6,130,21
Feb,7,10,0
Feb,7,40,2
Feb,7,70,4
Feb,7,100,31
Feb,7,130,13
Feb,8,10,1
Feb,8,40,3
Feb,8,70,0
Feb,8,100,34
Feb,8,130,14
Feb,9,10,0
Feb,9,40,0
Feb,9,70,1
Feb,9,100,21
Feb,9,130,26
Feb,10,10,0
Feb,10,40,0
Feb,10,70,6
Feb,10,100,20
Feb,10,130,25
Feb,11,10,0
Feb,11,40,0
Feb,11,70,0
Feb,11,100,19
Feb,11,130,26
Feb,12,10,0
Feb,12,40,0
Feb,12,70,0
Feb,12,100,28
Feb,12,130,22
Feb,13,10,0
Feb,13,40,1
Feb,13,70,2
Feb,13,100,36
Feb,13,130,24
Feb,14,10,1
Feb,14,40,2
Feb,14,70,1
Feb,14,100,27
Feb,14,130,31
Feb,15,10,0
Feb,15,40,0
Feb,15,70,0
Feb,15,100,16
Feb,15,130,18
Feb,16,10,0
Feb,16,40,1
Feb,16,70,7
Feb,16,100,8
Feb,16,130,25
Feb,17,10,0
Feb,17,40,0
Feb,17,70,0
Feb,17,100,32
Feb,17,130,13
Feb,18,10,0
Feb,18,40,0
Feb,18,70,0
Feb,18,100,47
Feb,18,130,35
Feb,19,10,0
Feb,19,40,2
Feb,19,70,1
Feb,19,100,11
Feb,19,130,34
Feb,20,10,0
Feb,20,40,0
Feb,20,70,0
Feb,20,100,29
Feb,20,130,59
Feb,21,10,1
Feb,21,40,1
Feb,21,70,3
Feb,21,100,9
Feb,21,130,9
Feb,22,10,0
Feb,22,40,0
Feb,22,70,3
Feb,22,100,14
Feb,22,130,16
Feb,23,10,0
Feb,23,40,1
Feb,23,70,4
Feb,23,100,34
Feb,23,130,30
Feb,24,10,0
Feb,24,40,0
Feb,24,70,6
Feb,24,100,11
Feb,24,130,21
Feb,25,10,0
Feb,25,40,0
Feb,25,70,0
Feb,25,100,34
Feb,25,130,81
Feb,26,10,0
Feb,26,40,0
Feb,26,70,2
Feb,26,100,24
Feb,26,130,14
Feb,27,10,0
Feb,27,40,0
Feb,27,70,2
Feb,27,100,19
Feb,27,130,34
Feb,28,10,0
Feb,28,40,0
Feb,28,70,0
Feb,28,100,36
Feb,28,130,25
Feb,29,10,0
Feb,29,40,1
Feb,29,70,1
Feb,29,100,32
Feb,29,130,44
Feb,30,10,1
Feb,30,40,0
Feb,30,70,0
Feb,30,100,7
Feb,30,130,20
Feb,31,10,0
Feb,31,40,0
Feb,31,70,1
Feb,31,100,29
Feb,31,130,38
Feb,32,10,0
Feb,32,40,0
Feb,32,70,0
Feb,32,100,27
Feb,32,130,41
Feb,33,10,0
Feb,33,40,0
Feb,33,70,1
Feb,33,100,13
Feb,33,130,37
Feb,34,10,0
Feb,34,40,0
Feb,34,70,0
Feb,34,100,32
Feb,34,130,12
Feb,35,10,0
Feb,35,40,0
Feb,35,70,1
Feb,35,100,15
Feb,35,130,14
Feb,36,10,0
Feb,36,40,0
Feb,36,70,1
Feb,36,100,9
Feb,36,130,45
Feb,37,10,1
Feb,37,40,0
Feb,37,70,3
Feb,37,100,13
Feb,37,130,24
Feb,38,10,1
Feb,38,40,0
Feb,38,70,0
Feb,38,100,43
Feb,38,130,32
Feb,39,10,0
Feb,39,40,0
Feb,39,70,3
Feb,39,100,25
Feb,39,130,27
Feb,40,10,1
Feb,40,40,0
Feb,40,70,1
Feb,40,100,20
Feb,40,130,32
Mar,1,10,3
Mar,1,40,7
Mar,1,70,10
Mar,1,100,22
Mar,1,130,62
Mar,2,10,3
Mar,2,40,7
Mar,2,70,6
Mar,2,100,8
Mar,2,130,37
Mar,3,10,5
Mar,3,40,14
Mar,3,70,3
Mar,3,100,34
Mar,3,130,65
Mar,4,10,0
Mar,4,40,7
Mar,4,70,3
Mar,4,100,17
Mar,4,130,38
Mar,5,10,4
Mar,5,40,10
Mar,5,70,11
Mar,5,100,21
Mar,5,130,44
Mar,6,10,0
Mar,6,40,5
Mar,6,70,4
Mar,6,100,7
Mar,6,130,24
Mar,7,10,0
Mar,7,40,5
Mar,7,70,2
Mar,7,100,16
Mar,7,130,28
Mar,8,10,11
Mar,8,40,10
Mar,8,70,6
Mar,8,100,24
Mar,8,130,63
Mar,9,10,2
Mar,9,40,1
Mar,9,70,2
Mar,9,100,23
Mar,9,130,25
Mar,10,10,1
Mar,10,40,10
Mar,10,70,22
Mar,10,100,64
Mar,10,130,81
Mar,11,10,2
Mar,11,40,9
Mar,11,70,8
Mar,11,100,19
Mar,11,130,27
Mar,12,10,5
Mar,12,40,10
Mar,12,70,12
Mar,12,100,22
Mar,12,130,58
Mar,13,10,1
Mar,13,40,1
Mar,13,70,2
Mar,13,100,15
Mar,13,130,19
Mar,14,10,0
Mar,14,40,5
Mar,14,70,8
Mar,14,100,11
Mar,14,130,22
Mar,15,10,2
Mar,15,40,5
Mar,15,70,7
Mar,15,100,29
Mar,15,130,71
Mar,16,10,1
Mar,16,40,3
Mar,16,70,3
Mar,16,100,11
Mar,16,130,12
Mar,17,10,3
Mar,17,40,7
Mar,17,70,7
Mar,17,100,20
Mar,17,130,30
Mar,18,10,0
Mar,18,40,5
Mar,18,70,8
Mar,18,100,7
Mar,18,130,6
Mar,19,10,5
Mar,19,40,5
Mar,19,70,5
Mar,19,100,35
Mar,19,130,72
Mar,20,10,3
Mar,20,40,4
Mar,20,70,2
Mar,20,100,20
Mar,20,130,27
Mar,21,10,0
Mar,21,40,4
Mar,21,70,6
Mar,21,100,20
Mar,21,130,72
Mar,22,10,2
Mar,22,40,8
Mar,22,70,12
Mar,22,100,12
Mar,22,130,26
Mar,23,10,2
Mar,23,40,11
Mar,23,70,3
Mar,23,100,20
Mar,23,130,61
Mar,24,10,3
Mar,24,40,11
Mar,24,70,15
Mar,24,100,20
Mar,24,130,60
Mar,25,10,1
Mar,25,40,7
Mar,25,70,2
Mar,25,100,6
Mar,25,130,22
Mar,26,10,1
Mar,26,40,6
Mar,26,70,6
Mar,26,100,13
Mar,26,130,12
Mar,27,10,1
Mar,27,40,10
Mar,27,70,3
Mar,27,100,12
Mar,27,130,33
Mar,28,10,3
Mar,28,40,8
Mar,28,70,5
Mar,28,100,11
Mar,28,130,44
Mar,29,10,0
Mar,29,40,2
Mar,29,70,3
Mar,29,100,13
Mar,29,130,21
Mar,30,10,0
Mar,30,40,7
Mar,30,70,3
Mar,30,100,18
Mar,30,130,11
Mar,31,10,0
Mar,31,40,7
Mar,31,70,7
Mar,31,100,13
Mar,31,130,49
Mar,32,10,0
Mar,32,40,2
Mar,32,70,5
Mar,32,100,19
Mar,32,130,19
Mar,33,10,2
Mar,33,40,6
Mar,33,70,7
Mar,33,100,7
Mar,33,130,18
Mar,34,10,0
Mar,34,40,2
Mar,34,70,8
Mar,34,100,10
Mar,34,130,24
Mar,35,10,2
Mar,35,40,5
Mar,35,70,7
Mar,35,100,13
Mar,35,130,24
Mar,36,10,1
Mar,36,40,9
Mar,36,70,10
Mar,36,100,20
Mar,36,130,56
Mar,37,10,2
Mar,37,40,6
Mar,37,70,5
Mar,37,100,11
Mar,37,130,30
Mar,38,10,1
Mar,38,40,4
Mar,38,70,4
Mar,38,100,8
Mar,38,130,23
Mar,39,10,0
Mar,39,40,1
Mar,39,70,8
Mar,39,100,15
Mar,39,130,38
Mar,40,10,1
Mar,40,40,3
Mar,40,70,8
Mar,40,100,9
Mar,40,130,12
Apr,1,10,3
Apr,1,40,0
Apr,1,70,1
Apr,1,100,0
Apr,1,130,50
Apr,2,10,5
Apr,2,40,1
Apr,2,70,0
Apr,2,100,1
Apr,2,130,108
Apr,3,10,0
Apr,3,40,2
Apr,3,70,0
Apr,3,100,0
Apr,3,130,53
Apr,4,10,0
Apr,4,40,1
Apr,4,70,0
Apr,4,100,5
Apr,4,130,62
Apr,5,10,2
Apr,5,40,1
Apr,5,70,0
Apr,5,100,4
Apr,5,130,100
Apr,6,10,0
Apr,6,40,2
Apr,6,70,1
Apr,6,100,3
Apr,6,130,53
Apr,7,10,0
Apr,7,40,0
Apr,7,70,0
Apr,7,100,5
Apr,7,130,92
Apr,8,10,0
Apr,8,40,0
Apr,8,70,1
Apr,8,100,1
Apr,8,130,61
Apr,9,10,2
Apr,9,40,0
Apr,9,70,1
Apr,9,100,1
Apr,9,130,51
Apr,10,10,0
Apr,10,40,0
Apr,10,70,2
Apr,10,100,6
Apr,10,130,55
Apr,11,10,2
Apr,11,40,0
Apr,11,70,1
Apr,11,100,0
Apr,11,130,71
Apr,12,10,2
Apr,12,40,2
Apr,12,70,2
Apr,12,100,3
Apr,12,130,52
Apr,13,10,8
Apr,13,40,3
Apr,13,70,4
Apr,13,100,2
Apr,13,130,56
Apr,14,10,3
Apr,14,40,3
Apr,14,70,4
Apr,14,100,6
Apr,14,130,62
Apr,15,10,0
Apr,15,40,0
Apr,15,70,0
Apr,15,100,0
Apr,15,130,38
Apr,16,10,0
Apr,16,40,0
Apr,16,70,1
Apr,16,100,4
Apr,16,130,75
Apr,17,10,1
Apr,17,40,2
Apr,17,70,0
Apr,17,100,1
Apr,17,130,45
Apr,18,10,1
Apr,18,40,3
Apr,18,70,1
Apr,18,100,3
Apr,18,130,90
Apr,19,10,1
Apr,19,40,0
Apr,19,70,0
Apr,19,100,0
Apr,19,130,40
Apr,20,10,2
Apr,20,40,3
Apr,20,70,1
Apr,20,100,1
Apr,20,130,50
Apr,21,10,1
Apr,21,40,3
Apr,21,70,0
Apr,21,100,2
Apr,21,130,43
Apr,22,10,3
Apr,22,40,1
Apr,22,70,6
Apr,22,100,6
Apr,22,130,67
Apr,23,10,1
Apr,23,40,4
Apr,23,70,12
Apr,23,100,14
Apr,23,130,52
Apr,24,10,0
Apr,24,40,3
Apr,24,70,0
Apr,24,100,0
Apr,24,130,43
Apr,25,10,1
Apr,25,40,4
Apr,25,70,4
Apr,25,100,2
Apr,25,130,49
Apr,26,10,0
Apr,26,40,1
Apr,26,70,2
Apr,26,100,0
Apr,26,130,39
Apr,27,10,2
Apr,27,40,2
Apr,27,70,1
Apr,27,100,5
Apr,27,130,55
Apr,28,10,2
Apr,28,40,1
Apr,28,70,0
Apr,28,100,0
Apr,28,130,30
Apr,29,10,0
Apr,29,40,0
Apr,29,70,0
Apr,29,100,0
Apr,29,130,43
Apr,30,10,4
Apr,30,40,3
Apr,30,70,1
Apr,30,100,11
Apr,30,130,66
Apr,31,10,0
Apr,31,40,4
Apr,31,70,0
Apr,31,100,2
Apr,31,130,44
Apr,32,10,3
Apr,32,40,4
Apr,32,70,2
Apr,32,100,4
Apr,32,130,55
Apr,33,10,3
Apr,33,40,0
Apr,33,70,3
Apr,33,100,1
Apr,33,130,53
Apr,34,10,4
Apr,34,40,11
Apr,34,70,3
Apr,34,100,3
Apr,34,130,57
Apr,35,10,2
Apr,35,40,5
Apr,35,70,2
Apr,35,100,4
Apr,35,130,39
Apr,36,10,2
Apr,36,40,4
Apr,36,70,1
Apr,36,100,10
Apr,36,130,74
Apr,37,10,0
Apr,37,40,5
Apr,37,70,11
Apr,37,100,5
Apr,37,130,56
Apr,38,10,3
Apr,38,40,3
Apr,38,70,2
Apr,38,100,4
Apr,38,130,39
Apr,39,10,0
Apr,39,40,0
Apr,39,70,1
Apr,39,100,11
Apr,39,130,76
Apr,40,10,6
Apr,40,40,7
Apr,40,70,6
Apr,40,100,11
Apr,40,130,54
May,1,10,1
May,1,40,2
May,1,70,2
May,1,100,12
May,1,130,52
May,2,10,4
May,2,40,6
May,2,70,6
May,2,100,34
May,2,130,80
May,3,10,0
May,3,40,3
May,3,70,0
May,3,100,25
May,3,130,69
May,4,10,1
May,4,40,5
May,4,70,6
May,4,100,35
May,4,130,53
May,5,10,0
May,5,40,1
May,5,70,1
May,5,100,22
May,5,130,30
May,6,10,0
May,6,40,0
May,6,70,0
May,6,100,24
May,6,130,60
May,7,10,0
May,7,40,0
May,7,70,2
May,7,100,13
May,7,130,85
May,8,10,0
May,8,40,1
May,8,70,0
May,8,100,49
May,8,130,56
May,9,10,3
May,9,40,2
May,9,70,5
May,9,100,46
May,9,130,51
May,10,10,0
May,10,40,5
May,10,70,4
May,10,100,52
May,10,130,62
May,11,10,0
May,11,40,2
May,11,70,0
May,11,100,30
May,11,130,57
May,12,10,0
May,12,40,3
May,12,70,1
May,12,100,25
May,12,130,67
May,13,10,0
May,13,40,5
May,13,70,4
May,13,100,44
May,13,130,64
May,14,10,0
May,14,40,7
May,14,70,1
May,14,100,44
May,14,130,67
May,15,10,4
May,15,40,0
May,15,70,0
May,15,100,31
May,15,130,47
May,16,10,0
May,16,40,3
May,16,70,4
May,16,100,67
May,16,130,84
May,17,10,0
May,17,40,3
May,17,70,0
May,17,100,54
May,17,130,42
May,18,10,0
May,18,40,2
May,18,70,2
May,18,100,33
May,18,130,35
May,19,10,1
May,19,40,4
May,19,70,6
May,19,100,31
May,19,130,46
May,20,10,0
May,20,40,0
May,20,70,1
May,20,100,36
May,20,130,47
May,21,10,0
May,21,40,6
May,21,70,5
May,21,100,60
May,21,130,46
May,22,10,1
May,22,40,9
May,22,70,11
May,22,100,51
May,22,130,30
May,23,10,0
May,23,40,5
May,23,70,1
May,23,100,23
May,23,130,42
May,24,10,0
May,24,40,1
May,24,70,0
May,24,100,33
May,24,130,33
May,25,10,1
May,25,40,1
May,25,70,
May,25,100,12
May,25,130,40
May,26,10,0
May,26,40,0
May,26,70,0
May,26,100,38
May,26,130,22
May,27,10,0
May,27,40,1
May,27,70,0
May,27,100,13
May,27,130,55
May,28,10,2
May,28,40,4
May,28,70,5
May,28,100,36
May,28,130,77
May,29,10,1
May,29,40,0
May,29,70,0
May,29,100,23
May,29,130,45
May,30,10,0
May,30,40,4
May,30,70,0
May,30,100,23
May,30,130,37
May,31,10,1
May,31,40,2
May,31,70,5
May,31,100,66
May,31,130,41
May,32,10,2
May,32,40,1
May,32,70,1
May,32,100,31
May,32,130,66
May,33,10,1
May,33,40,0
May,33,70,8
May,33,100,81
May,33,130,27
May,34,10,0
May,34,40,2
May,34,70,2
May,34,100,39
May,34,130,49
May,35,10,0
May,35,40,6
May,35,70,4
May,35,100,61
May,35,130,25
May,36,10,2
May,36,40,1
May,36,70,6
May,36,100,58
May,36,130,57
May,37,10,1
May,37,40,3
May,37,70,0
May,37,100,26
May,37,130,64
May,38,10,0
May,38,40,1
May,38,70,0
May,38,100,20
May,38,130,65
May,39,10,0
May,39,40,2
May,39,70,0
May,39,100,33
May,39,130,42
May,40,10,2
May,40,40,4
May,40,70,5
May,40,100,25
May,40,130,63
Jun,1,10,0
Jun,1,40,1
Jun,1,70,0
Jun,1,100,12
Jun,1,130,12
Jun,2,10,2
Jun,2,40,1
Jun,2,70,1
Jun,2,100,17
Jun,2,130,14
Jun,3,10,0
Jun,3,40,0
Jun,3,70,0
Jun,3,100,17
Jun,3,130,19
Jun,4,10,0
Jun,4,40,0
Jun,4,70,0
Jun,4,100,28
Jun,4,130,11
Jun,5,10,0
Jun,5,40,0
Jun,5,70,0
Jun,5,100,48
Jun,5,130,17
Jun,6,10,0
Jun,6,40,0
Jun,6,70,0
Jun,6,100,29
Jun,6,130,22
Jun,7,10,0
Jun,7,40,0
Jun,7,70,0
Jun,7,100,33
Jun,7,130,15
Jun,8,10,0
Jun,8,40,0
Jun,8,70,0
Jun,8,100,22
Jun,8,130,13
Jun,9,10,0
Jun,9,40,0
Jun,9,70,0
Jun,9,100,14
Jun,9,130,29
Jun,10,10,0
Jun,10,40,0
Jun,10,70,0
Jun,10,100,20
Jun,10,130,17
Jun,11,10,0
Jun,11,40,0
Jun,11,70,0
Jun,11,100,15
Jun,11,130,18
Jun,12,10,0
Jun,12,40,0
Jun,12,70,0
Jun,12,100,27
Jun,12,130,24
Jun,13,10,0
Jun,13,40,0
Jun,13,70,0
Jun,13,100,24
Jun,13,130,28
Jun,14,10,0
Jun,14,40,0
Jun,14,70,0
Jun,14,100,14
Jun,14,130,36
Jun,15,10,0
Jun,15,40,0
Jun,15,70,0
Jun,15,100,13
Jun,15,130,18
Jun,16,10,0
Jun,16,40,0
Jun,16,70,0
Jun,16,100,17
Jun,16,130,20
Jun,17,10,0
Jun,17,40,0
Jun,17,70,0
Jun,17,100,7
Jun,17,130,22
Jun,18,10,0
Jun,18,40,0
Jun,18,70,0
Jun,18,100,24
Jun,18,130,14
Jun,19,10,0
Jun,19,40,0
Jun,19,70,0
Jun,19,100,23
Jun,19,130,20
Jun,20,10,0
Jun,20,40,0
Jun,20,70,0
Jun,20,100,13
Jun,20,130,17
Jun,21,10,0
Jun,21,40,0
Jun,21,70,0
Jun,21,100,18
Jun,21,130,19
Jun,22,10,0
Jun,22,40,0
Jun,22,70,0
Jun,22,100,10
Jun,22,130,29
Jun,23,10,1
Jun,23,40,1
Jun,23,70,2
Jun,23,100,11
Jun,23,130,12
Jun,24,10,0
Jun,24,40,0
Jun,24,70,0
Jun,24,100,14
Jun,24,130,20
Jun,25,10,0
Jun,25,40,0
Jun,25,70,0
Jun,25,100,13
Jun,25,130,22
Jun,26,10,0
Jun,26,40,0
Jun,26,70,0
Jun,26,100,17
Jun,26,130,29
Jun,27,10,0
Jun,27,40,0
Jun,27,70,0
Jun,27,100,22
Jun,27,130,14
Jun,28,10,0
Jun,28,40,4
Jun,28,70,2
Jun,28,100,7
Jun,28,130,24
Jun,29,10,0
Jun,29,40,0
Jun,29,70,0
Jun,29,100,16
Jun,29,130,23
Jun,30,10,1
Jun,30,40,0
Jun,30,70,0
Jun,30,100,14
Jun,30,130,15
Jun,31,10,1
Jun,31,40,0
Jun,31,70,0
Jun,31,100,2
Jun,31,130,17
Jun,32,10,0
Jun,32,40,0
Jun,32,70,1
Jun,32,100,0
Jun,32,130,28
Jun,33,10,1
Jun,33,40,1
Jun,33,70,0
Jun,33,100,0
Jun,33,130,29
Jun,34,10,0
Jun,34,40,0
Jun,34,70,0
Jun,34,100,4
Jun,34,130,36
Jun,35,10,0
Jun,35,40,0
Jun,35,70,0
Jun,35,100,10
Jun,35,130,29
Jun,36,10,0
Jun,36,40,0
Jun,36,70,0
Jun,36,100,6
Jun,36,130,28
Jun,37,10,0
Jun,37,40,0
Jun,37,70,0
Jun,37,100,18
Jun,37,130,30
Jun,38,10,0
Jun,38,40,0
Jun,38,70,0
Jun,38,100,3
Jun,38,130,32
Jun,39,10,0
Jun,39,40,0
Jun,39,70,0
Jun,39,100,7
Jun,39,130,34
Jun,40,10,0
Jun,40,40,0
Jun,40,70,0
Jun,40,100,4
Jun,40,130,41
Jul,1,10,0
Jul,1,40,0
Jul,1,70,0
Jul,1,100,1
Jul,1,130,2
Jul,2,10,0
Jul,2,40,0
Jul,2,70,0
Jul,2,100,3
Jul,2,130,1
Jul,3,10,0
Jul,3,40,0
Jul,3,70,0
Jul,3,100,1
Jul,3,130,0
Jul,4,10,0
Jul,4,40,0
Jul,4,70,0
Jul,4,100,0
Jul,4,130,1
Jul,5,10,0
Jul,5,40,0
Jul,5,70,0
Jul,5,100,2
Jul,5,130,3
Jul,6,10,0
Jul,6,40,0
Jul,6,70,0
Jul,6,100,1
Jul,6,130,2
Jul,7,10,0
Jul,7,40,0
Jul,7,70,0
Jul,7,100,2
Jul,7,130,0
Jul,8,10,0
Jul,8,40,0
Jul,8,70,0
Jul,8,100,0
Jul,8,130,0
Jul,9,10,0
Jul,9,40,0
Jul,9,70,0
Jul,9,100,3
Jul,9,130,2
Jul,10,10,0
Jul,10,40,0
Jul,10,70,1
Jul,10,100,2
Jul,10,130,0
Jul,11,10,0
Jul,11,40,0
Jul,11,70,0
Jul,11,100,2
Jul,11,130,0
Jul,12,10,0
Jul,12,40,0
Jul,12,70,0
Jul,12,100,3
Jul,12,130,1
Jul,13,10,0
Jul,13,40,0
Jul,13,70,0
Jul,13,100,2
Jul,13,130,0
Jul,14,10,0
Jul,14,40,0
Jul,14,70,0
Jul,14,100,3
Jul,14,130,2
Jul,15,10,0
Jul,15,40,0
Jul,15,70,0
Jul,15,100,1
Jul,15,130,2
Jul,16,10,0
Jul,16,40,0
Jul,16,70,0
Jul,16,100,1
Jul,16,130,0
Jul,17,10,0
Jul,17,40,0
Jul,17,70,1
Jul,17,100,1
Jul,17,130,0
Jul,18,10,0
Jul,18,40,0
Jul,18,70,0
Jul,18,100,4
Jul,18,130,1
Jul,19,10,0
Jul,19,40,0
Jul,19,70,0
Jul,19,100,3
Jul,19,130,0
Jul,20,10,0
Jul,20,40,0
Jul,20,70,1
Jul,20,100,2
Jul,20,130,0
Jul,21,10,0
Jul,21,40,0
Jul,21,70,1
Jul,21,100,2
Jul,21,130,1
Jul,22,10,0
Jul,22,40,0
Jul,22,70,0
Jul,22,100,2
Jul,22,130,1
Jul,23,10,0
Jul,23,40,0
Jul,23,70,1
Jul,23,100,2
Jul,23,130,0
Jul,24,10,0
Jul,24,40,0
Jul,24,70,0
Jul,24,100,2
Jul,24,130,2
Jul,25,10,0
Jul,25,40,0
Jul,25,70,0
Jul,25,100,3
Jul,25,130,0
Jul,26,10,0
Jul,26,40,0
Jul,26,70,0
Jul,26,100,0
Jul,26,130,2
Jul,27,10,0
Jul,27,40,0
Jul,27,70,0
Jul,27,100,0
Jul,27,130,3
Jul,28,10,0
Jul,28,40,0
Jul,28,70,0
Jul,28,100,0
Jul,28,130,0
Jul,29,10,0
Jul,29,40,0
Jul,29,70,0
Jul,29,100,1
Jul,29,130,3
Jul,30,10,0
Jul,30,40,0
Jul,30,70,0
Jul,30,100,0
Jul,30,130,0
Jul,31,10,0
Jul,31,40,0
Jul,31,70,0
Jul,31,100,0
Jul,31,130,1
Jul,32,10,0
Jul,32,40,0
Jul,32,70,0
Jul,32,100,0
Jul,32,130,2
Jul,33,10,0
Jul,33,40,0
Jul,33,70,0
Jul,33,100,0
Jul,33,130,3
Jul,34,10,0
Jul,34,40,0
Jul,34,70,0
Jul,34,100,0
Jul,34,130,1
Jul,35,10,0
Jul,35,40,0
Jul,35,70,0
Jul,35,100,1
Jul,35,130,3
Jul,36,10,0
Jul,36,40,0
Jul,36,70,0
Jul,36,100,0
Jul,36,130,3
Jul,37,10,0
Jul,37,40,0
Jul,37,70,0
Jul,37,100,0
Jul,37,130,2
Jul,38,10,0
Jul,38,40,0
Jul,38,70,0
Jul,38,100,2
Jul,38,130,3
Jul,39,10,0
Jul,39,40,0
Jul,39,70,0
Jul,39,100,0
Jul,39,130,0
Jul,40,10,0
Jul,40,40,0
Jul,40,70,0
Jul,40,100,0
Jul,40,130,4
Aug,1,10,1
Aug,1,40,0
Aug,1,70,3
Aug,1,100,1
Aug,1,130,33
Aug,2,10,1
Aug,2,40,12
Aug,2,70,10
Aug,2,100,2
Aug,2,130,24
Aug,3,10,1
Aug,3,40,2
Aug,3,70,9
Aug,3,100,1
Aug,3,130,34
Aug,4,10,0
Aug,4,40,2
Aug,4,70,24
Aug,4,100,0
Aug,4,130,26
