Month,Line,Bath,Day,N,Sp,Wt,Wd,Lg,Sex,Berried
Apr,4,1,3,19,BSC,10,3.8,2.5,F,N
Apr,5,1,2,11,BSC,10,5.4,2.5,F,N
Apr,5,2,3,9,BSC,15,5.9,3,F,N
Apr,2,1,3,19,BSC,15,6.3,3,F,N
Apr,5,1,1,10,BSC,15,6.2,3.2,F,N
Apr,4,1,1,11,BSC,20,6.5,2.9,F,N
Apr,4,1,1,2,BSC,20,6.3,3,F,N
Apr,4,2,2,16,BSC,20,6.6,3,F,N
Apr,4,2,2,11,BSC,20,6.1,3.1,F,N
Apr,5,1,1,7,BSC,20,6.2,3.1,F,N
Apr,3,1,2,18,BSC,20,6.3,3.1,F,N
Apr,5,2,2,11,BSC,20,6,3.2,F,N
Apr,1,2,2,14,BSC,20,6.7,3.2,F,N
Apr,4,1,1,13,BSC,20,6.7,3.2,F,N
Apr,3,1,3,6,BSC,20,8.9,4.5,F,N
Apr,5,2,1,16,BSC,25,7.2,3,F,N
Apr,3,1,2,18,BSC,25,6.5,3.2,F,N
Apr,2,2,1,15,BSC,25,6.7,3.2,F,N
Apr,4,1,2,8,BSC,25,6.8,3.3,F,N
Apr,2,1,2,20,BSC,25,6.6,3.4,F,N
Apr,3,1,1,8,BSC,25,6.7,3.4,F,N
Apr,5,1,2,4,BSC,25,7,3.4,F,N
Apr,4,2,2,5,BSC,25,7.1,3.5,F,N
Apr,3,2,3,15,BSC,25,7.5,4,F,N
Apr,2,1,3,12,BSC,30,6.1,3,F,N
Apr,1,1,2,6,BSC,30,6.1,3.2,F,N
Apr,4,2,3,20,BSC,30,6.7,3.4,F,N
Apr,5,1,3,18,BSC,30,7.2,3.4,F,N
Apr,2,2,1,18,BSC,30,6.7,3.6,F,N
Apr,5,1,3,9,BSC,30,7,3.6,F,N
Apr,5,1,2,2,BSC,30,7.4,3.6,F,N
Apr,3,1,1,19,BSC,30,7.3,3.7,F,N
Apr,1,1,1,16,BSC,30,7.4,3.7,F,N
Apr,5,1,1,6,BSC,30,7.8,3.7,F,N
Apr,3,2,1,10,BSC,30,8.7,3.9,F,N
Apr,2,1,2,18,BSC,30,6.4,4.1,F,N
Apr,3,1,2,10,BSC,35,5.2,2.5,F,N
Apr,3,1,3,14,BSC,35,7.1,3.1,F,N
Apr,5,1,1,4,BSC,35,6.9,3.5,F,N
Apr,4,2,1,15,BSC,35,7.7,3.6,F,N
Apr,3,2,1,19,BSC,35,7.9,3.6,F,N
Apr,5,1,1,5,BSC,35,9.1,4.2,F,N
Apr,5,1,1,4,BSC,40,7.7,3,F,N
Apr,5,1,1,17,BSC,40,7.1,3.3,F,N
Apr,4,1,1,16,BSC,40,8.4,3.6,F,N
Apr,4,1,2,5,BSC,40,7.4,3.7,F,N
Apr,4,1,3,4,BSC,40,7.4,3.7,F,N
Apr,5,1,3,9,BSC,40,7.4,3.7,F,N
Apr,5,2,2,6,BSC,40,8.1,3.7,F,N
Apr,5,2,3,9,BSC,40,7.6,3.8,F,N
Apr,3,2,1,10,BSC,40,8.2,3.8,F,N
Apr,4,1,1,1,BSC,40,8.2,3.8,F,N
Apr,1,2,1,14,BSC,40,7.8,3.9,F,N
Apr,5,2,1,9,BSC,40,7.8,3.9,F,N
Apr,2,1,2,15,BSC,40,7.9,3.9,F,N
Apr,5,2,2,9,BSC,40,8.2,3.9,F,N
Apr,5,2,1,9,BSC,40,7.7,4,F,N
Apr,3,1,1,17,BSC,40,7.8,4,F,N
Apr,4,2,2,9,BSC,40,8.1,4,F,N
Apr,2,1,2,17,BSC,45,6.4,2.8,F,N
Apr,4,2,1,1,BSC,45,8,3.6,F,N
Apr,4,2,1,6,BSC,45,7.7,3.7,F,N
Apr,4,1,2,5,BSC,45,8.2,3.7,F,N
Apr,1,1,2,17,BSC,45,8.4,3.7,F,N
Apr,2,1,3,12,BSC,45,7.4,3.8,F,N
Apr,3,1,2,12,BSC,45,7.8,3.9,F,N
Apr,4,1,2,4,BSC,45,7.8,3.9,F,N
Apr,4,1,2,5,BSC,45,7.9,3.9,F,N
Apr,4,1,2,14,BSC,45,8.2,3.9,F,N
Apr,4,2,3,9,BSC,45,7.8,4,F,N
Apr,5,1,1,13,BSC,45,8,4,F,N
Apr,2,2,3,18,BSC,45,8.3,4,F,N
Apr,2,1,1,12,BSC,45,8.4,4.1,F,N
Apr,4,2,2,6,BSC,45,8.4,4.1,F,N
Apr,1,1,1,20,BSC,45,8,4.2,F,N
Apr,5,1,1,10,BSC,45,8.3,4.2,F,N
Apr,1,1,1,16,BSC,45,8.5,4.4,F,N
Apr,4,1,2,1,BSC,45,8.2,4.5,F,N
Apr,4,1,3,3,BSC,50,7.8,3.7,F,N
Apr,4,2,1,4,BSC,50,8.4,3.8,F,N
Apr,5,1,3,3,BSC,50,7.9,3.9,F,N
Apr,3,1,2,19,BSC,50,8,3.9,F,N
Apr,5,2,2,11,BSC,50,7.8,4,F,N
Apr,2,1,2,19,BSC,50,8.1,4,F,N
Apr,1,2,2,15,BSC,50,8.8,4,F,N
Apr,2,1,3,7,BSC,50,8,4.1,F,N
Apr,5,1,3,4,BSC,50,8.5,4.1,F,N
Apr,4,2,2,19,BSC,50,8.7,4.1,F,N
Apr,2,2,2,5,BSC,50,8.8,4.1,F,N
Apr,1,2,1,13,BSC,50,8.9,4.1,F,N
Apr,2,1,2,16,BSC,50,7.7,4.2,F,N
Apr,2,2,2,12,BSC,50,8.4,4.2,F,N
Apr,4,1,2,4,BSC,50,8.4,4.2,F,N
Apr,5,1,1,10,BSC,50,8.4,4.2,F,N
Apr,3,1,3,6,BSC,50,8.6,4.2,F,N
Apr,4,1,1,3,BSC,50,8.8,4.2,F,N
Apr,5,1,3,6,BSC,50,8.9,4.2,F,N
Apr,3,1,1,18,BSC,50,9,4.2,F,N
Apr,1,1,1,18,BSC,50,8.2,4.3,F,N
Apr,1,2,2,14,BSC,50,8.6,4.3,F,N
Apr,4,1,2,6,BSC,50,8.6,4.3,F,N
Apr,2,1,1,10,BSC,50,8.9,4.3,F,N
Apr,3,1,1,19,BSC,50,8.9,4.3,F,N
Apr,4,1,1,2,BSC,50,8.9,4.3,F,N
Apr,4,1,1,7,BSC,50,8.9,4.3,F,N
Apr,2,1,1,7,BSC,50,9.2,4.3,F,N
Apr,3,2,1,7,BSC,50,9.2,4.3,F,N
Apr,5,2,2,5,BSC,50,8.4,4.4,F,N
Apr,1,1,1,13,BSC,50,8.6,4.4,F,N
Apr,3,1,2,8,BSC,50,8.6,4.4,F,N
Apr,2,2,1,9,BSC,50,8.7,4.4,F,N
Apr,3,1,2,9,BSC,50,8.7,4.4,F,N
Apr,3,1,3,6,BSC,50,8.7,4.4,F,N
Apr,4,2,2,3,BSC,50,8.7,4.4,F,N
