Time,Date,St,Rep,Protoperidinium_sp,Prorocentrum_sp,Peridinium_sp,Pyrodinium_sp,Woloszynskia_sp,Ceratium_concilians,Ceratium_fusus,Ceratium_furca,Ceratium_deflexum,Ceratium_massiliense,Ceratium_macroceros,Ceratium_hircus,Ceratium_falcatum,Ceratium_porrectum,Ceratium_concillant,Ceratium_sp,Diplopsalis_sp,Dinophysis_sp,Gonyaulax_sp,Noctiluca,Alexandrium_sp,Gymnodium_sp,Podolampas_sp,Dithylum_sp,Pleurosigma_sp,Pyrophacus_sp,Eucampia_sp,Eunotia_sp,Climacodium_sp,Rhizosolenia_sp,Epithemia_sp,Navicula_sp,Chaetoceros_sp,Pseudoguinadia_sp,Lauderia_sp,Gyrosigma_sp,Odontella_sp,Guinadia_sp,Triceratium_sp,Cosinodisdus_sp,Nitzschia_sp,Thalassiosira_sp,Thalassionema_sp,Thalassiotrix_sp,Diploneis_sp,Bacteriastrum_sp,Amphora_sp,Podosira_sp,Pseudonitzschia_sp,Hemiaulus_sp,Meuniera_sp,Leptocylindrus_sp,Diatoma_sp,Haslea_sp,Skeletonema_sp,Palmeria_hardmaniana,Palmeria_sp,Cymbella_sp,Gomphonema_sp,Ethmodiscus_gazellae,Biddulphia_sp,Asteromphalus_sp,Stauroneis_sp,Cocconeis_sp,Pararia_sp,Surirella_sp,Cyclotella_sp,Dactyliosolen_sp,Amphiphora_sp,Aulacoseira_sp,Planktonella_sp,Oscillatoria_sp
1,Apr18,MN,1,53264,9864,1973,0,0,0,1096,0,0,0,0,0,0,0,0,2630,5480,2849,4165,1973,0,0,658,173600,85046,0,0,0,0,3507,0,5918,0,0,6795,0,3069,0,0,4384,658,7891,5480,0,0,3507,1096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2538681
1,Apr18,MN,2,91552,20958,13236,0,0,0,1103,0,0,0,0,0,0,0,0,2941,8824,3677,4044,1838,0,0,735,257741,162513,0,0,0,0,8457,0,17281,0,0,10295,0,8089,0,0,9560,0,9192,7721,0,0,6251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3621616
1,Apr18,MR,1,33048,13335,7682,0,0,0,11886,0,0,0,0,0,0,0,0,14205,5798,2609,1160,1015,0,0,0,21018,10002,0,0,0,0,40441,0,6958,10726,0,6668,0,1739,0,0,2899,435,0,2029,0,0,4638,0,0,0,0,0,2464,0,0,1160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2762158
1,Apr18,MR,2,65100,58991,4200,0,0,0,15273,0,0,0,0,0,0,0,0,14318,2864,7064,5345,2291,0,0,0,20618,14700,0,0,0,0,43336,0,7445,8209,0,5727,0,573,0,0,6873,0,0,0,0,0,9545,0,0,0,0,0,3436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2532409
1,Apr18,TK,1,128503,278515,7170,0,0,0,0,0,0,0,0,0,0,0,0,14891,12685,6067,15442,5515,0,0,0,21509,17648,0,0,0,0,18200,0,3861,0,0,2758,0,0,0,0,11582,0,0,3861,0,0,1655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1261867
1,Apr18,TK,2,103807,217881,6274,0,0,0,1711,0,0,0,0,0,0,0,0,5133,6274,3422,14259,6274,0,0,0,7985,11407,0,0,0,0,15400,0,7415,0,0,2852,0,570,0,0,4563,0,0,2852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,971341
1,Apr18,KK,1,398109,150333,20514,0,0,0,2564,0,0,0,0,0,0,0,0,4808,39426,11219,32695,5770,0,0,0,25643,63787,0,0,0,0,63787,0,13463,0,0,0,0,0,0,0,25964,0,0,0,0,0,962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5764889
1,Apr18,KK,2,239688,138850,15310,0,0,0,2112,0,0,0,0,0,0,0,0,3696,30621,6863,22702,14782,0,0,0,33789,118260,0,0,0,0,96614,0,38540,0,0,5807,0,0,0,0,31149,0,0,5279,0,0,0,1584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10422185
2,Dec18,MN,1,15075,7924,3479,2126,0,2319,0,0,0,0,0,0,0,0,0,0,0,0,1353,3479,0,0,0,15848,24158,0,8117,0,0,29376,0,11209,1323872,23772,15075,0,4252,20100,0,14108,12756,0,22612,0,1933,1710404,12176,0,36334,22419,2706,30536,0,0,35561,773,0,0,0,773,0,966,0,0,2899,0,0,8117,4832,0,1353,255273
2,Dec18,MN,2,7587,2666,2051,820,0,0,1025,820,0,0,820,0,0,0,0,0,0,1435,1025,2461,0,0,0,31783,163835,0,31168,0,0,121595,7382,66026,371346,82635,29322,0,21120,163015,0,61105,103961,0,95759,0,19070,157684,15584,0,129797,93913,2461,17839,0,0,31988,0,0,0,0,3691,0,1640,0,0,0,0,0,0,0,0,1025,240745
