Time,Date,St,Rep,Arthropoda,Sipuncula,Echiura,Annelida,Mollusca,Echinodermata
1,Apr18,MN,1,0.00,0.00,0.00,18.90,0.00,18.90
1,Apr18,MN,2,0.00,0.00,0.00,18.90,0.00,18.90
1,Apr18,MR,1,18.90,0.00,0.00,18.90,0.00,0.00
1,Apr18,MR,2,0.00,0.00,0.00,0.00,0.00,18.90
1,Apr18,TK,1,0.00,0.00,0.00,0.00,0.00,18.90
1,Apr18,TK,2,18.90,18.90,0.00,18.90,0.00,37.81
1,Apr18,KK,1,0.00,37.81,0.00,0.00,0.00,75.61
1,Apr18,KK,2,0.00,0.00,0.00,56.71,0.00,0.00
2,Dec18,MN,1,0.00,0.00,0.00,37.81,0.00,0.00
2,Dec18,MN,2,0.00,0.00,0.00,94.52,0.00,0.00
2,Dec18,MR,1,0.00,0.00,0.00,75.61,0.00,0.00
2,Dec18,MR,2,0.00,0.00,18.90,18.90,0.00,0.00
2,Dec18,TK,1,0.00,0.00,0.00,37.81,0.00,0.00
2,Dec18,TK,2,18.90,0.00,0.00,37.81,0.00,0.00
2,Dec18,KK,1,0.00,0.00,0.00,37.81,0.00,0.00
2,Dec18,KK,2,0.00,0.00,0.00,18.90,0.00,0.00
3,Feb19,MN,1,18.90,0.00,0.00,0.00,0.00,18.90
3,Feb19,MN,2,18.90,0.00,0.00,0.00,0.00,0.00
3,Feb19,MR,1,0.00,0.00,0.00,37.81,18.90,0.00
3,Feb19,MR,2,0.00,0.00,0.00,0.00,0.00,0.00
3,Feb19,TK,1,0.00,0.00,0.00,18.90,0.00,75.61
3,Feb19,TK,2,0.00,0.00,0.00,0.00,0.00,37.81
3,Feb19,KK,1,18.90,0.00,0.00,0.00,0.00,0.00
3,Feb19,KK,2,18.90,0.00,0.00,0.00,0.00,0.00
4,Apr19,MN,1,0.00,0.00,0.00,37.81,0.00,0.00
4,Apr19,MN,2,0.00,0.00,0.00,0.00,0.00,0.00
4,Apr19,MR,1,18.90,0.00,0.00,37.81,0.00,0.00
4,Apr19,MR,2,0.00,0.00,0.00,37.81,0.00,18.90
4,Apr19,TK,1,0.00,0.00,0.00,18.90,0.00,18.90
4,Apr19,TK,2,18.90,18.90,0.00,18.90,0.00,37.81
4,Apr19,KK,1,0.00,18.90,0.00,56.71,0.00,0.00
4,Apr19,KK,2,0.00,0.00,0.00,56.71,0.00,0.00
5,Jun19,MN,1,0.00,0.00,0.00,18.90,0.00,0.00
5,Jun19,MN,2,18.90,0.00,0.00,0.00,0.00,37.81
5,Jun19,MR,1,0.00,0.00,0.00,37.81,56.70,0.00
5,Jun19,MR,2,0.00,0.00,0.00,0.00,37.80,0.00
5,Jun19,TK,1,0.00,0.00,0.00,18.90,37.80,0.00
5,Jun19,TK,2,0.00,0.00,0.00,0.00,37.80,0.00
5,Jun19,KK,1,0.00,0.00,0.00,0.00,18.90,0.00
5,Jun19,KK,2,0.00,0.00,0.00,0.00,56.71,0.00
6,Aug19,MN,1,0.00,0.00,0.00,75.61,0.00,18.90
6,Aug19,MN,2,0.00,0.00,0.00,113.42,0.00,0.00
6,Aug19,MR,1,0.00,0.00,0.00,0.00,0.00,18.90
6,Aug19,MR,2,0.00,0.00,0.00,37.81,0.00,0.00
6,Aug19,TK,1,0.00,0.00,0.00,18.90,0.00,0.00
6,Aug19,TK,2,0.00,0.00,0.00,18.90,0.00,0.00
6,Aug19,KK,1,0.00,0.00,0.00,75.61,0.00,0.00
6,Aug19,KK,2,0.00,0.00,0.00,56.71,0.00,0.00
