Time,Date,St,rep,Clupeidae,Nemipteridae,Mullidae,Apogonidae,Gobiidae,Platycephalidae,Gerreidae,Scorpaenidae,Callionymidae,Sillaginidae,Carangidae,Atherinidae,Pomacentridae,Bothidae ,Engraulidae,Ambassidae,Unknown
1,Apr18,MN,1,14.06,14.06,0.00,0.00,28.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1,Apr18,MN,2,0.00,53.67,0.00,0.00,17.89,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1,Apr18,MR,1,0.00,81.52,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1,Apr18,MR,2,36.90,0.00,0.00,36.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1,Apr18,TK,1,882.80,106.54,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1,Apr18,TK,2,554.59,103.99,0.00,17.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1,Apr18,KK,1,178.57,107.14,0.00,35.71,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,35.71
1,Apr18,KK,2,315.32,180.18,0.00,0.00,45.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2,Dec18,MN,1,30.89,0.00,0.00,0.00,15.44,15.44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2,Dec18,MN,2,53.80,661.03,0.00,0.00,7.69,7.69,15.37,15.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2,Dec18,MR,1,89.55,313.43,14.93,0.00,14.93,0.00,0.00,14.93,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2,Dec18,MR,2,91.65,162.93,40.73,0.00,0.00,10.18,0.00,30.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2,Dec18,TK,1,20.92,62.76,564.85,0.00,41.84,41.84,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2,Dec18,TK,2,333.33,3166.67,166.67,0.00,0.00,0.00,333.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
