N,Season,SP,W,CL,PCL,DL,ML,PCL_CL,DL_CL,ML_CL
1,summer,C_lin,16,24,15,10,13,0.63,0.42,0.54
2,summer,C_lin,5,18,11,6,9,0.61,0.33,0.5
3,summer,C_lin,9,23,12,6,10,0.52,0.26,0.43
4,summer,C_lin,7,20,10,5,9,0.5,0.25,0.45
5,summer,C_lin,9,21,14,7,12,0.67,0.33,0.57
6,summer,C_lin,12,27,16,9,14,0.59,0.33,0.52
7,summer,C_lin,7,21,11,6,10,0.52,0.29,0.48
8,summer,C_lon,11,26,14,9,12,0.54,0.35,0.46
9,summer,C_lon,5,15,8,4,8,0.53,0.27,0.53
10,summer,C_lon,9,21,9.5,9,9,0.45,0.43,0.43
11,summer,C_lon,6,17,11,5.5,10,0.65,0.32,0.59
12,summer,C_lon,15,28,18,10,15,0.64,0.36,0.54
13,summer,C_lon,9,20,11,6,10,0.55,0.3,0.5
14,summer,C_lon,5,16,9,5,9,0.56,0.31,0.56
15,summer,C_lon,10,22,12,8,12,0.55,0.36,0.55
16,summer,C_lon,13,29,13,7,13,0.45,0.24,0.45
17,summer,C_lon,7,20,10.5,6,10,0.53,0.3,0.5
18,summer,C_lon,4,16,7,4,8,0.44,0.25,0.5
19,summer,C_lon,14,24,16.5,10,13,0.69,0.42,0.54
20,summer,C_lon,5,19,12,5,10,0.63,0.26,0.53
21,summer,C_lon,7,20,14,7,12,0.7,0.35,0.6
22,summer,C_lon,10,21,14,7.5,12,0.67,0.36,0.57
23,summer,C_lon,7,19,11,6,11,0.58,0.32,0.58
24,summer,C_lon,6,23,11,6,10,0.48,0.26,0.43
25,summer,C_lon,13,24,15,9,13,0.63,0.38,0.54
26,summer,C_lon,4,18,11,6,10,0.61,0.33,0.56
27,summer,C_lon,9,18,10,6,11,0.56,0.33,0.61
28,summer,C_lon,16,28,18,10,16,0.64,0.36,0.57
29,summer,C_lon,9,20,11,6,10,0.55,0.3,0.5
30,summer,C_lon,5,15,9,5,9,0.6,0.33,0.6
31,summer,C_lon,10,22,12,8,12,0.55,0.36,0.55
32,summer,C_lon,13,29,13,7,13,0.45,0.24,0.45
33,summer,C_lon,7,20,12,6,11,0.6,0.3,0.55
34,summer,C_lon,9,23,12,6,10,0.52,0.26,0.43
35,summer,C_lon,7,19,10,5,9,0.53,0.26,0.47
36,summer,C_lon,10,23,13,6,12,0.57,0.26,0.52
37,summer,C_lon,9,19,11,6,10,0.58,0.32,0.53
38,summer,C_lon,5,16,9,5,9,0.56,0.31,0.56
39,summer,C_lon,10,23,12,8,12,0.52,0.35,0.52
40,summer,C_lon,13,29,13,7,13,0.45,0.24,0.45
41,summer,C_lon,7,22,10,6.5,10,0.45,0.3,0.45
42,summer,C_lon,8,21,11,6,10,0.52,0.29,0.48
43,summer,C_lon,5,15,9,5,10,0.6,0.33,0.67
44,summer,C_lon,10,22,12,8,12,0.55,0.36,0.55
45,summer,C_lon,13,26,13,8,12,0.5,0.31,0.46
46,summer,C_lon,6,18,10,6,10,0.56,0.33,0.56
47,summer,C_lon,9,23,11,6,10,0.48,0.26,0.43
48,summer,C_lon,13,24,15,9,13,0.63,0.38,0.54
49,rainy,C_lin,5,17,11,6,9,0.65,0.35,0.53
50,rainy,C_lin,9,22,12,6,10,0.55,0.27,0.45
51,rainy,C_lin,7,19,10,5,9,0.53,0.26,0.47
52,rainy,C_lin,7,20,11,6,10,0.55,0.3,0.5
53,rainy,C_lon,5,15,8,4,8,0.53,0.27,0.53
54,rainy,C_lon,9,21,9.5,9,9,0.45,0.43,0.43
55,rainy,C_lon,6,17,11,5.5,10,0.65,0.32,0.59
56,rainy,C_lon,7,20,10.5,6,10,0.53,0.3,0.5
57,rainy,C_lon,8,20,11,6,10,0.55,0.3,0.5
58,rainy,C_lon,4,16,9,5,9,0.56,0.31,0.56
59,rainy,C_lon,2,14,6,3,6,0.43,0.21,0.43
60,rainy,C_lon,2,12,6,3,5,0.5,0.25,0.42
61,rainy,C_lon,7,20,14,7,13,0.7,0.35,0.65
62,rainy,C_lon,11,21,14,7.5,12,0.67,0.36,0.57
63,rainy,C_lon,7,19,11,6,11,0.58,0.32,0.58
64,rainy,C_lon,5,18,11,5.5,9,0.61,0.31,0.5
65,rainy,C_lon,13,23,15,9,13,0.65,0.39,0.57
66,rainy,C_lon,4,16,11,6,10,0.69,0.38,0.63
67,rainy,C_lon,4,15,9,5,9,0.6,0.33,0.6
68,rainy,C_lon,3,13,8,4,8,0.62,0.31,0.62
69,rainy,C_lon,5,15,9,5,9,0.6,0.33,0.6
70,rainy,C_lon,13,21,13,7,13,0.62,0.33,0.62
71,rainy,C_lon,4,17,10,5,9,0.59,0.29,0.53
72,rainy,C_lon,5,18,9,5.5,9,0.5,0.31,0.5
73,rainy,C_lon,3,15,7,4.5,8,0.47,0.3,0.53
74,rainy,C_lon,5,14,8,5,8,0.57,0.36,0.57
75,rainy,C_lon,4,13,8,4.5,8,0.62,0.35,0.62
76,rainy,C_lon,5,15,9,5,10,0.6,0.33,0.67
77,rainy,C_lon,6,18,10,6,10,0.56,0.33,0.56
78,rainy,C_lon,5,15,9,5,9,0.6,0.33,0.6
79,rainy,C_lon,5,17,9,5.5,9,0.53,0.32,0.53
80,rainy,C_lon,4,14,8,4,8,0.57,0.29,0.57
81,rainy,C_lon,4,16,10,5,9,0.63,0.31,0.56
82,rainy,C_lon,3,13,8,4,8,0.62,0.31,0.62
83,rainy,C_lon,5,16,9,5,9,0.56,0.31,0.56
84,rainy,C_lon,3,14,7,4,8,0.5,0.29,0.57
85,rainy,C_lon,5,16,10,5,9,0.63,0.31,0.56
86,rainy,C_lon,5,17,10,5,9,0.59,0.29,0.53
87,winter,C_lon,11,23,14,9,13,0.61,0.39,0.57
88,winter,C_lon,8,22,11,7,10.5,0.5,0.32,0.48
89,winter,C_lon,9,25,12,7,10,0.48,0.28,0.4
90,winter,C_lon,1,12,8,3,7,0.67,0.25,0.58
91,winter,C_lon,15,27,15,7,14,0.56,0.26,0.52
92,winter,C_lon,15,23,16,10,14,0.7,0.43,0.61
93,winter,C_lon,3,16,9,4,7,0.56,0.25,0.44
94,winter,C_lon,6,21,10,6,10,0.48,0.29,0.48
95,winter,C_lon,5,21,10,7,10,0.48,0.33,0.48
96,winter,C_lon,6,21,9.5,5,8,0.45,0.24,0.38
