Place,Fish,Rep,Fish.wt,Fish.lt,Oto.wd,Oto.lt,Oto.wt,Ca,Sr,Ba,Mn,Zn,K,Pb,Cu
CTI,12,1,19.03,12.10,3.80,6.40,0.038,99.24,0.48,0.08,0.01,0.00,0.16,0.00,0.02
CTI,12,2,19.03,12.10,3.80,6.40,0.038,99.20,0.50,0.10,0.00,0.00,0.17,0.00,0.01
CTI,12,3,19.03,12.10,3.80,6.40,0.038,99.25,0.50,0.03,0.02,0.01,0.14,0.01,0.04
CTI,13,1,20.47,12.40,3.80,6.60,0.041,99.34,0.38,0.07,0.02,0.00,0.16,0.00,0.02
CTI,13,2,20.47,12.40,3.80,6.60,0.041,99.11,0.44,0.25,0.01,0.00,0.20,-0.02,0.01
CTI,13,3,20.47,12.40,3.80,6.60,0.041,99.27,0.45,0.07,0.00,0.01,0.18,0.00,0.02
CTI,14,1,25.77,13.30,4.10,6.80,0.0467,99.33,0.38,0.11,0.01,0.00,0.18,-0.01,-0.01
CTI,14,2,25.77,13.30,4.10,6.80,0.0467,99.32,0.41,0.08,0.01,0.00,0.17,0.00,0.01
CTI,14,3,25.77,13.30,4.10,6.80,0.0467,99.23,0.39,0.10,0.04,0.03,0.17,0.01,0.04
CTI,15,1,19.63,12.00,3.80,6.40,0.0422,99.29,0.37,0.09,0.02,0.00,0.21,0.00,0.03
CTI,15,2,19.63,12.00,3.80,6.40,0.0422,99.33,0.37,0.09,0.02,0.01,0.14,0.00,0.05
CTI,15,3,19.63,12.00,3.80,6.40,0.0422,99.34,0.37,0.03,0.05,0.01,0.15,0.01,0.05
CTI,16,1,26.01,13.20,4.00,7.20,0.0484,99.23,0.43,0.16,0.01,0.00,0.14,0.00,0.02
CTI,16,2,26.01,13.20,4.00,7.20,0.0484,99.02,0.51,0.24,0.00,0.00,0.24,-0.02,0.01
CTI,16,3,26.01,13.20,4.00,7.20,0.0484,99.21,0.50,0.04,0.02,0.01,0.17,0.01,0.05
CTI,17,1,23.40,12.90,3.80,6.80,0.0450,99.41,0.36,0.08,0.01,0.00,0.11,0.00,0.02
CTI,17,2,23.40,12.90,3.80,6.80,0.0450,99.30,0.39,0.12,0.02,0.00,0.16,0.00,0.02
CTI,17,3,23.40,12.90,3.80,6.80,0.0450,99.24,0.40,0.13,0.01,0.01,0.19,0.00,0.02
CTI,18,1,25.67,13.20,4.00,7.10,0.0523,99.29,0.38,0.13,0.01,0.00,0.17,0.00,0.00
CTI,18,2,25.67,13.20,4.00,7.10,0.0523,99.37,0.39,0.10,0.02,0.00,0.13,-0.01,0.01
CTI,18,3,25.67,13.20,4.00,7.10,0.0523,99.24,0.38,0.13,0.01,0.03,0.19,-0.01,0.02
CTI,19,1,24.02,13.00,4.00,6.90,0.0438,99.24,0.48,0.13,0.01,0.00,0.14,0.00,0.00
CTI,19,2,24.02,13.00,4.00,6.90,0.0438,99.17,0.55,0.13,0.01,0.00,0.14,-0.01,0.01
CTI,19,3,24.02,13.00,4.00,6.90,0.0438,99.24,0.49,0.01,0.03,0.01,0.16,0.02,0.05
CTI,20,1,21.22,12.30,3.80,6.50,0.0358,99.26,0.47,0.08,0.01,0.00,0.14,0.00,0.03
CTI,20,2,21.22,12.30,3.80,6.50,0.0358,99.22,0.47,0.09,0.01,0.00,0.17,0.00,0.03
CTI,20,3,21.22,12.30,3.80,6.50,0.0358,99.21,0.52,0.05,0.01,0.01,0.17,0.01,0.02
CTI,21,1,22.13,12.70,3.80,6.80,0.0449,99.28,0.43,0.09,0.01,0.01,0.15,0.00,0.02
CTI,21,2,22.13,12.70,3.80,6.80,0.0449,99.33,0.41,0.10,0.01,0.00,0.14,-0.01,0.01
CTI,21,3,22.13,12.70,3.80,6.80,0.0449,99.25,0.45,0.05,0.01,0.01,0.19,0.01,0.04
CTI,22,1,25.16,13.30,4.00,7.00,0.0477,99.34,0.38,0.12,0.01,0.00,0.12,0.00,0.02
CTI,22,2,25.16,13.30,4.00,7.00,0.0477,98.95,0.57,0.27,0.01,0.00,0.25,-0.02,0.02
CTI,22,3,25.16,13.30,4.00,7.00,0.0477,99.18,0.53,-0.01,0.03,0.01,0.17,0.02,0.06
CTI,23,1,25.06,12.80,3.70,7.00,0.0408,99.20,0.41,0.17,0.01,0.00,0.20,0.00,0.01
CTI,23,2,25.06,12.80,3.70,7.00,0.0408,99.29,0.43,0.07,0.03,0.00,0.16,0.00,0.03
CTI,23,3,25.06,12.80,3.70,7.00,0.0408,99.30,0.41,-0.02,0.03,0.01,0.17,0.03,0.07
CTI,24,1,26.84,13.40,4.00,7.30,0.0533,99.11,0.62,0.09,0.01,0.00,0.17,0.00,0.00
CTI,24,2,26.84,13.40,4.00,7.30,0.0533,99.04,0.63,0.12,0.01,0.00,0.17,0.00,0.03
CTI,24,3,26.84,13.40,4.00,7.30,0.0533,98.90,0.66,0.18,0.00,0.03,0.23,-0.01,-0.01
CTI,25,1,22.64,12.80,4.00,6.80,0.0389,99.36,0.39,0.05,0.02,0.00,0.17,0.00,0.02
CTI,25,2,22.64,12.80,4.00,6.80,0.0389,99.31,0.39,0.10,0.02,0.00,0.17,0.00,0.01
CTI,25,3,22.64,12.80,4.00,6.80,0.0389,99.23,0.42,0.07,0.03,0.01,0.20,0.01,0.03
CTI,26,1,26.13,13.40,4.10,7.30,0.0500,99.34,0.38,0.11,0.01,0.01,0.14,0.00,0.01
CTI,26,2,26.13,13.40,4.10,7.30,0.0500,99.29,0.43,0.11,0.01,0.00,0.13,0.00,0.03
CTI,26,3,26.13,13.40,4.10,7.30,0.0500,99.15,0.50,0.14,0.02,0.01,0.16,-0.01,0.01
CTI,27,1,28.60,13.50,4.10,7.10,0.0489,99.30,0.42,0.10,0.02,0.00,0.15,0.00,0.01
CTI,27,2,28.60,13.50,4.10,7.10,0.0489,99.33,0.46,0.03,0.02,0.00,0.13,0.01,0.01
CTI,27,3,28.60,13.50,4.10,7.10,0.0489,99.14,0.39,0.11,0.02,0.04,0.28,0.00,0.03
CTI,28,1,21.26,12.50,4.10,6.90,0.0419,99.41,0.39,0.07,0.01,0.00,0.12,0.00,0.00
CTI,28,2,21.26,12.50,4.10,6.90,0.0419,99.36,0.37,0.05,0.02,0.00,0.13,0.01,0.04
CTI,28,3,21.26,12.50,4.10,6.90,0.0419,99.23,0.39,0.07,0.04,0.00,0.23,0.00,0.04
CTI,29,1,22.63,12.70,3.80,6.50,0.0382,99.32,0.40,0.12,0.01,0.00,0.13,0.01,0.01
CTI,29,2,22.63,12.70,3.80,6.50,0.0382,99.23,0.42,0.14,0.03,0.00,0.13,0.00,0.04
CTI,29,3,22.63,12.70,3.80,6.50,0.0382,99.28,0.44,0.06,0.02,0.01,0.15,0.01,0.03
CTI,30,1,24.97,13.30,4.10,7.00,0.0471,99.26,0.40,0.14,0.02,0.00,0.17,0.00,0.02
CTI,30,2,24.97,13.30,4.10,7.00,0.0471,99.22,0.45,0.13,0.02,0.00,0.19,0.00,0.00
CTI,30,3,24.97,13.30,4.10,7.00,0.0471,99.20,0.47,0.08,0.02,0.01,0.20,0.00,0.03
CTI,31,1,21.16,12.00,3.80,6.20,0.0363,99.30,0.42,0.12,0.02,0.00,0.13,0.00,0.01
CTI,31,2,21.16,12.00,3.80,6.20,0.0363,99.28,0.47,0.10,0.01,0.00,0.12,-0.01,0.02
CTI,31,3,21.16,12.00,3.80,6.20,0.0363,99.20,0.45,0.12,0.02,0.02,0.19,0.00,0.02
CTI,32,1,27.86,13.60,3.90,7.10,0.0483,99.22,0.39,0.19,0.01,0.00,0.16,0.00,0.04
CTI,32,2,27.86,13.60,3.90,7.10,0.0483,99.25,0.40,0.13,0.02,0.00,0.18,0.00,0.02
