Date,Time,Station,Rep,Pseudo_nitzschia ,Oscillatoria,Ditylum,Peridinium,Chaetoceros,Pseudoguinardia,Coscinondiscus ,Cyclotella ,Gyrosigma,Chroococcus,Bacteriastrum,Bacillaria ,Nitzechia,Pleurosigma ,Pyrophacus,Odontella,Ceratium,Guinardia,Thalassionema,Lauderia,Navicula,Rhizosolenia,Triceralium,Dinophysis,Surirella,Entomoneis,Porocentrum,Thalassiosira,Spirulina ,Lithodesmium,Melosira,Anabaena,Eucampia,Dictyosphaerium,Noctiluca,Trachelomonas,Phormidium,Diploneis ,Pediatrum,Euglena,Dictyocha,Synura,Scenedesmus,Asterionellopsis,Lagerheimia,Hemiaulus,Radiococcus,Cylindrotheca,Codium,Total
15-Dec-15,1,1,b1,155430,35325,3532.5,10597.5,28260,3532.5,7065,14130,14130,3532.5,10597.5,3532.5,14130,35325,31792.5,28260,17662.5,10597.5,3532.5,7065,3532.5,7065,0,0,0,0,0,0,0,0,0,0,10597.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,459225
15-Dec-15,1,1,b2,604057.5,155430,10597.5,105975,229612.5,91845,7065,28260,17662.5,0,116572.5,3532.5,0,0,0,0,0,0,0,0,0,42390,0,0,0,0,0,0,0,0,0,0,7065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1420065
15-Dec-15,1,2,b1,5016150,653512.5,17662.5,105975,1201050,600525,52987.5,353250,317925,0,688837.5,17662.5,88312.5,388575,105975,70650,70650,141300,3585487.5,0,70650,247275,17662.5,0,0,0,35325,0,0,0,0,0,10597.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13857997.5
15-Dec-15,1,2,b2,4009387.5,971437.5,105975,70650,794812.5,618187.5,0,176625,300262.5,0,406237.5,0,0,194287.5,176625,52987.5,141300,70650,194287.5,17662.5,63585,282600,0,35325,17662.5,0,17662.5,0,0,0,0,0,52987.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8771197.5
15-Dec-15,1,3,b1,180157500,5510700,1695600,0,9325800,1695600,423900,847800,4239000,0,8901900,0,423900,9325800,0,423900,423900,847800,3815100,847800,0,2967300,0,0,0,0,0,0,0,0,0,0,3815100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,235688400
15-Dec-15,1,3,b2,45216000,1413000,353250,176625,18898875,353250,706500,706500,5298750,0,5298750,0,0,3885750,0,0,0,1942875,706500,176625,0,2649375,0,176625,176625,176625,0,0,0,0,0,0,353250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88665750
15-Dec-15,1,4,b1,2649375,0,0,0,1942875,706500,176625,529875,3179250,0,0,0,0,176625,0,0,0,176625,176625,0,0,883125,0,0,353250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10950750
15-Dec-15,1,4,b2,14836500,5122125,176625,706500,63761625,1766250,1766250,0,3885750,0,7594875,0,353250,6005250,0,883125,353250,1766250,0,706500,353250,2826000,0,353250,0,176625,176625,0,0,0,353250,353250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114276375
16-Feb-16,2,1,b1,0,0,0,14130,3532.5,0,56520,45922.5,17662.5,0,0,0,0,3532.5,35325,0,0,0,0,0,7065,0,0,0,3532.5,0,0,0,0,17662.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204885
16-Feb-16,2,1,b2,0,0,0,10597.5,0,3532.5,74182.5,123637.5,24727.5,0,0,0,3532.5,0,0,3532.5,0,0,0,0,35325,0,0,0,0,7065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,286132.5
