Community,Season,Month,Station,Temp,Salinity,DO,pH,Depth,Transparency,Species_richness,Biodiversity_index,Evenness_index,Total,Cyanophyta,Chlorophyta,Dinophyta,Chrysophyta,Bacillariophyta
WDec1,Winther,Dec,1,27.5,26,4.15,7.27,6.31,145,23,3.1248,0.9966,939645,97143.75,15896.25,67117.5,0,759487.5
WDec2,Winther,Dec,2,28.05,30.5,5.45,8.05,4.15,205,26,3.2472,0.9967,11314597.5,812475,141300,247275,0,10113547.5
WDec3,Winther,Dec,3,28.3,31.5,6.4,8.3,1.77,170,22,3.0823,0.9972,162177075,3461850,0,388575,0,158326650
WDec4,Winther,Dec,4,28.54,29,6.4,8.37,2.74,190,25,3.2118,0.9978,62613562.5,2737687.5,0,794812.5,0,59081062.5
SFeb1,Summer,Feb,1,27.5,26,7.15,7.89,8.08,130,14,2.6270,0.9954,245508.75,0,17662.5,12363.75,0,215482.5
SFeb2,Summer,Feb,2,28.05,30.5,5.55,7.96,3.99,165,9,2.1925,0.9979,38857.5,1766.25,1766.25,8831.25,0,26493.75
SFeb3,Summer,Feb,3,28.3,31.5,7.15,8.19,1.31,145,11,2.3912,0.9972,4415625,35325,0,0,0,4380300
SFeb4,Summer,Feb,4,31.85,28.5,6.15,7.69,3.43,145,23,3.1194,0.9949,3558993.75,959073.75,233145,690603.75,0,1676171.25
SMay1,Summer,May,1,34.35,26.4,4.7,7.64,5,155,12,2.4688,0.9935,19746675,16196512.5,1112737.5,847800,0,1589625
SMay2,Summer,May,2,34.05,26.5,5.8,8.05,2.47,125,17,2.8217,0.9960,542238.75,227846.25,22961.25,146598.75,0,144832.5
SMay3,Summer,May,3,34.15,30,6.1,8.07,1.11,125,18,2.8827,0.9973,7347600,3523668.75,574031.25,547537.5,0,2702362.5
SMay4,Summer,May,4,34.2,30,5.55,8.08,1.05,150,13,2.5548,0.9960,20002781.25,17883281.25,485718.75,220781.25,0,1413000
RJul1,Rainy,Jul,1,28,0,6.99,6.35,6,30,19,2.9274,0.9942,4081803.75,116572.5,840735,413302.5,75948.75,2635245
RJul2,Rainy,Jul,2,28.3,0,4.93,6.43,4.5,40,10,2.3004,0.9990,2826000,0,176625,264937.5,0,2384437.5
RJul3,Rainy,Jul,3,28.8,10,7.41,8.03,2,80,11,2.3921,0.9976,12363750,0,441562.5,176625,0,11745562.5
RJul4,Rainy,Jul,4,29,25,9.24,7.98,1.5,50,12,2.4802,0.9981,19605375,2031187.5,264937.5,0,0,17309250
RAug1,Rainy,Aug,1,31.75,2.5,4.15,7.18,6,60,7,1.9417,0.9978,2649375,0,176625,0,88312.5,2384437.5
RAug2,Rainy,Aug,2,32.05,6,3.85,7.43,4,90,5,1.6087,0.9995,1059750,0,264937.5,0,0,794812.5
RAug3,Rainy,Aug,3,31.7,28,6.4,8.05,2.5,75,10,2.2991,0.9985,4857187.5,0,0,88312.5,0,4768875
RAug4,Rainy,Aug,4,31,28,5.3,8.09,2.5,70,11,2.3952,0.9989,8442675,264937.5,0,176625,0,8001112.5
WOct1,Winther,Oct,1,31.7,1,3.2,3.32,6.22,50.5,7,1.9389,0.9964,10774125,0,264937.5,1501312.5,0,9007875
WOct2,Winther,Oct,2,31.6,4.5,4.65,2.82,3.95,55,8,2.0721,0.9965,4821862.5,0,105975,44156.25,0,4671731.25
WOct3,Winther,Oct,3,30.3,26,5.85,8.28,7.92,140,4,1.3758,0.9924,4336143.75,0,52987.5,574031.25,0,3709125
WOct4,Winther,Oct,4,31.2,31,5.15,5.51,1.22,125,10,2.2887,0.9940,13123237.5,0,123637.5,635850,0,12363750
