No,V001,V102,V13,V14,V15,V1061,V1062,V1063,V1064,V1065,V107,V1081,V1082,V1091,V1092,V1093,V1094,V1095,V1096,V1097,V11101,V11102,V1103,V1104,V1105,V1106,V1107,V1108,V1109,V11111,V11112,V11113,V11114,V11121,V11122,V11123,V11124,V11131,V11132,V11133,V11134,V11141,V11142,V11143,V11144,V11151,V11152,V11153,V11154,V11161,V11162,V11163,V11164,V11171,V11172,V11173,V111774,V11181,V11182,V11183,V11184,V11191,V11192,V11193,V11194,V11201,V11202,V11203,V11204,V112,V113,V201,V202,V203,V204,V2051,V2052,V2053,V2054,V2055,V2056,V2057,V2061,V2062,V2063,V2064,V2065,V2066,V2067,V2068,V2069,V20610,V20611,V2071,V2072,V2073,V2074,V2075,V2076,V2077,V2078,V2079,V20710,V30111,V30112,V30113,V30121,V30122,V30123,V30131,V302,V303,V304,V401,V402,V403,V4041,V4042,V4043,V4044,V4045
B1,KK,39,1,2,1,20,20,,,,1,1,,1,,,,,1,6,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,1,1,1,2,1,1,1,1,1,1,1,4,,5,5,,5,,,,,,3,4,3,3,3,3,3,3,2,4,,,,,,,,,1,1,,,,,,,1,
B2,KK,50,2,2,1,50,50,,,,1,1,,1,,,1,6,,,,,,,,,,,,1,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,1,1,2,2,1,1,1,1,1,1,1,5,,5,5,,3,,,,,,5,4,3,4,4,4,4,3,3,5,,,,,,,1,,1,1,2,,,1,,,,
B3,KK,49,1,,1,20,20,,,,1,1,,2,,,,,1,7,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,2,1,,1,1,1,1,1,1,1,1,1,1,5,,5,5,,3,,,,,,5,5,3,5,5,5,5,3,3,5,,,,,,,1,,2,3,2,3,,,,,1,
B4,KK,62,1,1,1,50,50,,,,,1,,1,1,5,,,,,,,,,,,,,1,,,,,1,12,,,1,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B5,KK,40,1,4,1,30,30,,,,,1,,1,,,,,1,6,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,1,1,1,1,1,1,1,1,1,1,1,5,,3,5,,5,,,,,,3,4,3,4,4,5,4,3,3,4,,,,,,,,,2,1,1,3,,,,,1,
B6,KK,49,1,,2,30,30,,,,2,1,,1,,,,,1,4.80,,,1,,,,,,,1,12,365,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,1,2,1,2,,,,,,,1,3,,4,4,,3,,,,,,1,1,1,1,1,1,1,1,1,1,,,,,,,1,,1,2,2,,,1,,,,
B7,KK,26,2,5,1,40,40,,,,2,1,,1,1,6,,,,,,,,,,,,,, 1,12,365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,1,2,2,2,1,1,1,1,1,1,1,5,,5,5,,3,,,,,,5,5,3,5,5,5,3,3,5,5,,,,1,,0.3,,,2,2,2,,,,,,1,
B8,MR,46,1,1,2,30,30,,,,2,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,,,,,,,,,,,,,,,,,,,1,1,1,2,1,2,1,1,1,1,1,1,1,5,,5,5,,5,,,,,,5,5,5,5,5,5,5,5,5,5,,,,1,,0.3,,,1,1,2,5,,,,,,1
B9,MR,49,1,2,1,30,30,,,,1,1,,,,,,,,,,,1,,,,,,,1,3,58,,,,,,1,10,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,5,,5,5,,5,,,,,,5,5,5,5,5,5,5,5,5,5,,,,1,,0.2,,,1,,2,,,,,,,1
B10,MR,25,1,1,1,23,,,,,1,1,,1,,,,,,,,,1,,,,,,,1,10,120,,,,,,,,,,,,,,,,,,1,1,180,,,,,,,,,,1,,,,1,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,5,,5,5,,5,,,,,,5,5,5,5,5,5,5,5,5,5,,,,,,,1,,1,4,2,5,,1,,,,1
