No,place,V102,V103,V104,V105,V1061,V1062,V1063,V1064,V1065,V107,V1081,V1082,V1091,V1092,V1093,V1094,V1095,V1096,V1097,V1101,V1102,V1103,V1104,V1105,V1106,V1107,V1108,V1109,V112,V113,V201,V202,V203,V204,V2051,V2052,V2053,V2054,V2055,V2056,V2057,V2061,V2062,V2063,V2064,V2065,V2066,V2067,V2068,V2069,V20610,V20611,V2071,V2072,V2073,V2074,V2075,V2076,V2077,V2078,V2079,V20792,V20710,V301,V302,V303,V304,V401,V402,V404
B1,MR,25,2,2,2,7,7,,,,1,2,3,,,,,,1,,,,,,,1,,,,2,1,2,2,2,2,1,1,1,1,1,1,1,3,,4,5,5,5,5,5,5,5,5,,,,,,,,,,,,2,3,1,2,,,4
B2,MR,43,2,2,2,5,5,,,,1,2,7,,,,,,5,,1,,,,,,,,,2,1,1,,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,,,,,,,,,,,,,,,3,,,
B3,MR,42,1,1,2,20,,,,,1,1,,3,,,,,,,1,,,,,,,,,1,1,1,1,1,2,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,,,,,,,,,,,,2,3,,2,,2,5
B4,MR,54,1,1,2,30,,,,,2,2,5,1,,,,,1,3,,,,,,,,,1,1,2,1,2,2,2,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,3,2,1,,,
B5,MR,62,1,,2,30,50,,,,1,2,5,,,,,,12,,1,,,,,,,,,1,1,1,1,1,2,1,1,1,1,1,1,1,4,4,4,5,5,5,5,5,5,5,5,,,,,,,,,,,,2,2,1,2,2,,4
B6,MR,37,1,2,1,22,,,,,1,1,,1,,,,,1,11,1,,,,,,,,,2,1,1,1,1,2,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,,,,,,,,,,,,1,3,2,1,,,
B7,MR,55,1,1,2,50,,,,,1,1,,1,,,,,1,3,,,,,,1,,,,1,1,1,1,1,2,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,,,,,,,,,,,,1,3,2,1,,,"1,4"
B8,MR,57,1,,2,,30,,,,1,1,,1,,,1,3,,,,,1,,,,,,,1,1,1,2,,2,1,1,1,1,1,1,1,3,5,5,5,5,5,5,5,5,5,5,,,,,,,,,,,,3,3,1,4,,,4
B9,MR,39,1,2,,30,,,,,1,1,,1,,,1,3,,,,,,,,,,,1,1,1,1,,,,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,,,,,,,,,,,,3,3,1,,,,1
B10,MR,35,1,,1,30,10,,,,1,1,,1,,,1,,,,,,,,,1,,,,1,1,1,2,,1,1,1,1,1,1,1,1,4,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,
B11,MR,50,2,1,1,30,30,,,,1,1,,1,,,1,2,,,,,,,,,,,1,1,2,1,1,2,2,1,1,1,1,1,1,1,5,4,5,5,3,4,3,3,4,2,1,,,,,,,,,,,,1,3,2,1,,,4
