Time,Date,St,rep,Hydromedusa,Siphonophora,Comb_jellies,Polychaete_larvae,Nemertean,Nematoda,Obelia_sp.,Pilidium_larvae,Calanoida,Cyclopoida,Harpacticoida,Poicilostomatoida,Nauplius_copepods,Evadne_sp,Cyprid,Cirripedia,Isopoda,Protozoea_lucifer,Pseudevadne_tergestina,Juvenile_Lucifer,Lucifer_hanseni,Shrimp_larvae,Zoea_crab,Magalopa,Alima_larvae,Anomurans_(zoae_crab),Actinotrocha_larvae,Sagitta_spp,Veliger_larvae,Bivalvia_larvae,Gastropod_larvae,Pteropod_larvae,Echinopluteus_larvae,Ophiopluteus_larvae,Bipinnaria_larvae,Oikopleura_spp,Fritillaria_spp,Amphioxus,Fish_larvae,Fish_eggs
1,Apr18,MN,1,36626,84170,1169,94305,0,0,1169,1169,19873,9738,12473,783,8569,1169,0,783,0,50654,0,4676,2338,51437,4676,0,0,0,0,226791,0,2338,1952,0,0,1555,0,401361,10521,0,2338,1169
1,Apr18,MN,2,31224,54061,867,75459,0,0,867,4918,20530,10694,10408,581,8960,1735,0,1735,0,41051,0,26020,1735,64183,2602,0,0,867,1735,156121,0,2021,2888,0,0,581,0,405915,16479,1735,1735,1735
1,Apr18,MR,1,7691,9503,0,50685,0,0,3394,2036,9279,5885,1358,455,3394,45703,4073,455,0,455,0,2715,0,2036,679,0,0,0,0,221285,0,3618,10637,0,0,0,679,326721,0,0,679,1358
1,Apr18,MR,2,6618,3677,0,37503,0,0,2941,2206,5390,4412,493,1471,8824,30149,2941,0,0,3919,0,2206,0,1471,735,0,0,0,0,131628,0,978,7111,0,0,735,493,189479,2206,0,0,0
1,Apr18,TK,1,3470,4007,0,106042,0,0,0,0,7477,3742,2140,537,6146,7212,0,0,0,26709,0,13623,0,1603,801,0,0,801,0,184847,0,1867,1603,0,0,0,0,117261,1603,0,801,0
1,Apr18,TK,2,18491,2093,1046,206499,0,0,1046,0,7671,5578,3485,701,4887,8372,0,0,1046,122436,0,78485,0,2093,4186,0,0,1046,0,283592,0,701,2794,0,0,0,0,236156,2794,0,0,0
1,Apr18,KK,1,3724,3225,0,224924,0,0,0,1490,11172,6204,2979,499,3724,2234,0,0,0,84905,0,64796,6703,745,745,0,0,0,0,232617,0,1490,3724,0,0,0,0,135051,0,0,745,745
1,Apr18,KK,2,4020,4525,754,235818,0,0,0,1508,16087,9051,4774,754,7791,1508,1508,0,0,94027,0,76929,3771,754,1508,0,0,754,0,254923,0,1003,2512,0,0,0,0,90000,0,0,0,754
2,Dec18,MN,1,18313,42085,585,47153,0,0,585,585,9937,4869,6237,392,4284,585,0,392,0,25327,0,2338,1169,25719,2338,0,0,0,0,113395,0,1169,976,0,0,777,0,200680,5261,0,1169,585
2,Dec18,MN,2,15612,27031,434,37729,0,0,434,2459,10265,5347,5204,291,4480,867,0,867,0,20526,0,13010,867,32092,1301,0,0,434,867,78061,0,1010,1444,0,0,291,0,202958,8240,867,867,867
2,Dec18,MR,1,5127,6335,0,33790,0,0,2263,1358,6186,3923,905,303,2263,30469,2715,303,0,303,0,1810,0,1358,453,0,0,0,0,147523,0,2412,7091,0,0,0,453,217814,0,0,453,905
2,Dec18,MR,2,4412,2451,0,25002,0,0,1961,1471,3593,2941,328,980,5883,20100,1961,0,0,2613,0,1471,0,980,490,0,0,0,0,87752,0,652,4741,0,0,490,328,126319,1471,0,0,0
2,Dec18,TK,1,2602,3005,0,79532,0,0,0,0,5607,2807,1605,403,4610,5409,0,0,0,20032,0,10217,0,1202,601,0,0,601,0,138635,0,1400,1202,0,0,0,0,87946,1202,0,601,0
2,Dec18,TK,2,13868,1570,785,154874,0,0,785,0,5753,4183,2614,526,3665,6279,0,0,785,91827,0,58864,0,1570,3139,0,0,785,0,212694,0,526,2096,0,0,0,0,177117,2096,0,0,0
2,Dec18,KK,1,2793,2419,0,168693,0,0,0,1117,8379,4653,2234,374,2793,1676,0,0,0,63679,0,48597,5027,559,559,0,0,0,0,174463,0,1117,2793,0,0,0,0,101288,0,0,559,559
2,Dec18,KK,2,3015,3394,566,176864,0,0,0,1131,12065,6788,3581,566,5843,1131,1131,0,0,70520,0,57697,2828,566,1131,0,0,566,0,191192,0,752,1884,0,0,0,0,67500,0,0,0,566
3,Feb19,MN,1,37638,51668,0,84027,990,163,0,495,52990,57116,35162,990,8256,7592,1486,0,495,82373,0,8419,0,4457,2476,495,0,0,0,97894,0,5943,6933,0,990,34335,0,33344,404114,1981,1981,0
3,Feb19,MN,2,18895,13185,0,72823,0,0,0,0,40152,42119,16728,1376,8857,4919,0,0,0,28343,0,2362,0,2362,1181,0,0,0,0,85424,0,6495,3348,0,0,1181,0,164743,3151410,590,2362,590
3,Feb19,MR,1,24832,17583,507,56293,0,0,0,0,30429,49533,9296,507,9636,2536,167,507,0,34318,0,36175,2029,2536,6593,0,507,0,0,66436,507,2368,2196,507,507,7267,0,88076,172089,0,3550,0
3,Feb19,MR,2,2786,12814,0,19933,0,0,0,0,10586,11947,12939,990,5818,186,0,186,0,11143,0,3157,0,1114,1300,0,0,0,0,9533,0,1053,682,0,0,929,0,30767,20614,743,0,186
3,Feb19,TK,1,11905,8571,476,25871,0,0,0,0,16190,6824,1586,1586,6033,1586,0,0,0,30000,0,3333,952,952,952,0,0,0,0,43810,0,952,795,0,0,2062,0,5557,5935081,476,2381,476
3,Feb19,TK,2,6348,6824,0,38729,0,0,0,0,16348,7300,3652,2224,7143,3014,0,0,0,22381,0,2381,0,476,952,0,0,0,0,40476,0,1110,795,0,0,0,0,8571,4630319,952,476,476
3,Feb19,KK,1,2971,0,17829,40114,0,0,0,0,77257,65371,3967,995,10890,0,0,0,0,7429,0,0,0,0,0,0,0,0,0,141143,0,4947,995,0,0,0,0,70319,20800,0,0,0
3,Feb19,KK,2,22644,4299,2343,0,0,0,0,0,62472,111286,11714,1171,26556,0,0,0,0,44514,0,2343,0,3514,0,0,0,0,0,271385,1171,2729,2343,0,0,2343,0,133156,59356,0,1171,0
4,Apr19,MN,1,4949,0,0,20788,0,0,0,0,7919,11384,2970,0,4455,0,0,0,0,7919,0,0,3960,0,1485,0,0,0,0,28707,0,990,495,0,11384,0,0,35141,125222,0,0,0
4,Apr19,MN,2,3182,0,530,21212,0,0,0,0,14848,18561,4773,0,5303,0,0,0,0,11136,0,0,9015,3712,1061,0,0,0,0,40303,0,1591,3712,0,10606,0,0,101818,254015,0,1591,0
